modality,accuracy,macro_f1,mae,pearson
T,0.5947802197802198,0.5594056838916982,0.6886264128624244,0.5176678370388567
A,0.5879120879120879,0.5740733736772182,0.6282581019777853,0.6017341398188553
V,0.625,0.5974037376144488,0.6239877587864252,0.6202780016293016
TA,0.5659340659340659,0.5551982943718743,0.6810750029840414,0.5157317378992039
TV,0.5961538461538461,0.5602284810323422,0.6832123433726208,0.5267086626104774
AV,0.5879120879120879,0.5716067577649722,0.619643394225712,0.6146870978391096
