run_name,accuracy,macro_f1,weighted_f1,negative_precision,negative_recall,negative_f1,neutral_precision,neutral_recall,neutral_f1,positive_precision,positive_recall,positive_f1,mae,pearson,best_epoch,fusion_mode,pool_mode,head_mode,use_position,class_weight_mode,label_smoothing,dropout,weight_decay,batch_size,gpu_memory_mb,training_seconds,train_accuracy_at_selection,selected_model_kind,directory
Oracle_Regularized,0.6304945054945055,0.619407997650379,0.6363897772118892,0.6602870813397129,0.6699029126213593,0.6650602409638554,0.4517543859649123,0.5597826086956522,0.5,0.7491408934707904,0.6449704142011834,0.6931637519872814,0.6027568822455078,0.6414962621890677,6,concat,attention,linear,False,inverse,0.0,0.2,0.01,32,69.8017578125,12.526987023069523,0.6939617083946981,raw,outputs/q2_score_push/06_regularized
Oracle_Regularized_EMA,0.6304945054945055,0.619407997650379,0.6363897772118892,0.6602870813397129,0.6699029126213593,0.6650602409638554,0.4517543859649123,0.5597826086956522,0.5,0.7491408934707904,0.6449704142011834,0.6931637519872814,0.6027568822455078,0.6414962621890677,6,concat,attention,linear,False,inverse,0.0,0.2,0.01,32,72.455078125,13.569010724022519,0.6939617083946981,raw,outputs/q2_score_push/07_ema
Oracle_Regularized_TAV,0.6304945054945055,0.619407997650379,0.6363897772118892,0.6602870813397129,0.6699029126213593,0.6650602409638554,0.4517543859649123,0.5597826086956522,0.5,0.7491408934707904,0.6449704142011834,0.6931637519872814,0.6027568822455078,0.6414962621890677,6,concat,attention,linear,False,inverse,0.0,0.2,0.01,32,69.8017578125,13.942577773996163,0.6939617083946981,raw,outputs/q2_score_push/08_modality_TAV
Oracle_Regularized_TV,0.6304945054945055,0.617174439328351,0.6355106610469188,0.6306306306306306,0.6796116504854369,0.6542056074766355,0.4608294930875576,0.5434782608695652,0.49875311720698257,0.7577854671280276,0.6479289940828402,0.6985645933014354,0.6524734615641237,0.6086196311906754,3,concat,attention,linear,False,inverse,0.0,0.2,0.01,32,61.36181640625,10.609679787012283,0.6444771723122239,raw,outputs/q2_score_push/08_modality_TV
Oracle_Regularized_TA,0.6181318681318682,0.6142736388204062,0.6241072776323933,0.6460176991150443,0.7087378640776699,0.6759259259259259,0.44621513944223107,0.6086956521739131,0.5149425287356322,0.7649402390438247,0.5680473372781065,0.6519524617996605,0.5922334992977955,0.6482752710784885,7,concat,attention,linear,False,inverse,0.0,0.2,0.01,32,60.61865234375,15.927751742943656,0.7160530191458027,raw,outputs/q2_score_push/08_modality_TA
Run_A_OracleText,0.6387362637362637,0.6126343461145223,0.6338082440977344,0.625,0.7524271844660194,0.6828193832599119,0.5,0.41304347826086957,0.4523809523809524,0.7134146341463414,0.6923076923076923,0.7027027027027027,0.6066223868879855,0.6421072024705385,6,concat,attention,linear,False,inverse,0,0.15,0.0001,16,,,,raw,outputs/q2_v2/01_run_a_oracle_text
Oracle_Weight_Inverse,0.6387362637362637,0.6126343461145223,0.6338082440977344,0.625,0.7524271844660194,0.6828193832599119,0.5,0.41304347826086957,0.4523809523809524,0.7134146341463414,0.6923076923076923,0.7027027027027027,0.6066223868879855,0.6421072024705385,6,concat,attention,linear,False,inverse,0,0.15,0.0001,16,47.5185546875,392.52049899008125,0.7189985272459499,raw,outputs/q2_score_push/05_weight_inverse
Oracle_Regularized_T,0.6181318681318682,0.6089136578432567,0.6245929000539796,0.6571428571428571,0.6699029126213593,0.6634615384615384,0.4358974358974359,0.5543478260869565,0.4880382775119617,0.7394366197183099,0.621301775147929,0.6752411575562701,0.631144556934417,0.6106884051906015,7,concat,attention,linear,False,inverse,0.0,0.2,0.01,32,52.0224609375,37.43638635898242,0.7357879234167894,raw,outputs/q2_score_push/08_modality_T
OracleText_Position_TextCentered,0.6085164835164835,0.6074096305188742,0.6200394993162099,0.6935483870967742,0.6262135922330098,0.6581632653061225,0.410958904109589,0.6521739130434783,0.5042016806722689,0.776,0.5739644970414202,0.6598639455782312,0.622691208897747,0.6195945522202899,3,text_centered,attention,linear,True,inverse,0,0.15,0.0001,16,59.37841796875,22.60702379781287,0.6424153166421208,raw,outputs/q2_score_push/02_text_centered
Run_A2_OracleText_Pos,0.625,0.6052137692345138,0.627316600464174,0.6844919786096256,0.6213592233009708,0.6513994910941476,0.4405940594059406,0.483695652173913,0.46113989637305697,0.7020648967551623,0.7041420118343196,0.7031019202363368,0.6091256083298224,0.6311368314956236,5,concat,attention,linear,True,inverse,0,0.15,0.0001,16,47.61669921875,18.929516930074897,0.6798232695139912,raw,outputs/q2_score_push/01_position
OracleText_TextCentered_AttentionMax,0.6167582417582418,0.6045535007861872,0.6240271625401609,0.6871794871794872,0.6504854368932039,0.6683291770573566,0.41125541125541126,0.5163043478260869,0.4578313253012048,0.7284768211920529,0.650887573964497,0.6875,0.627850824937763,0.6430704821207873,5,text_centered,attention_max,linear,True,inverse,0,0.15,0.0001,16,59.7578125,26.625421119853854,0.6786450662739323,raw,outputs/q2_score_push/03_attention_max
Oracle_Weight_None,0.6181318681318682,0.6037458388844051,0.6233615766917247,0.6502463054187192,0.6407766990291263,0.6454767726161369,0.43636363636363634,0.5217391304347826,0.4752475247524752,0.7278688524590164,0.6568047337278107,0.6905132192846034,0.6169493124450257,0.6044089447054579,3,concat,attention,linear,False,none,0,0.15,0.0001,16,47.51806640625,16.481001254112925,0.6662739322533137,raw,outputs/q2_score_push/05_weight_none
Oracle_Weight_Sqrt,0.6277472527472527,0.6036418330773169,0.6254326079066863,0.6228070175438597,0.6893203883495146,0.6543778801843319,0.4819277108433735,0.43478260869565216,0.45714285714285713,0.7035928143712575,0.6952662721893491,0.6994047619047619,0.6034866575590478,0.61737115745212,4,concat,attention,linear,False,sqrt,0,0.15,0.0001,16,47.5185546875,396.554993200989,0.682179675994109,raw,outputs/q2_score_push/05_weight_sqrt
Oracle_Inverse_LabelSmoothing_005,0.6112637362637363,0.6035426377470156,0.6172670711839164,0.6306306306306306,0.6796116504854369,0.6542056074766355,0.4406779661016949,0.5652173913043478,0.49523809523809526,0.7444444444444445,0.5946745562130178,0.6611842105263158,0.6032800242377722,0.6222576186310115,4,concat,attention,linear,False,inverse,0.05,0.15,0.0001,16,47.5185546875,19.832696808851324,0.6565537555228277,raw,outputs/q2_score_push/05_label_smoothing_005
