epoch,variant,train_loss,temperature,joint_score,accuracy,f1_macro,f1_weighted,mae,pearson,gate_mean,gate_std
1,A1,1.8829179846237754,1.0,0.5744990093273499,0.45879120879120877,0.45569223349808324,0.46704153338105336,0.7082290699734906,0.48576303123114434,0.5454029513376973,0.051532955739817206
2,A1,1.432059363784077,1.0,0.6664463620401233,0.6277472527472527,0.5821363232088627,0.6128756910765122,0.835064650010471,0.5801205458458544,0.5429848747072749,0.06622388390606045
3,A1,1.2914616894499165,1.0,0.6756649755128834,0.5837912087912088,0.5883724333028507,0.5932541185310285,0.6098286767439356,0.6342260439702412,0.558331124038323,0.07717778258822962
4,A1,1.2190282890729816,1.0,0.7015531385683769,0.6332417582417582,0.6193758628484983,0.6391797249568538,0.614877174565873,0.6576400459140526,0.5295926929415364,0.10358763187595159
5,A1,1.1267272428931476,1.0,0.6827649493864392,0.6167582417582418,0.5854482656713808,0.6110043618891926,0.6317530239594507,0.642049177278944,0.4859394489208257,0.14733973956430424
6,A1,1.0516599918080267,0.990909090909091,0.6713902121558578,0.5796703296703297,0.5773435262446207,0.591005649803271,0.6092021178620788,0.6389000115660972,0.5232164866668035,0.1691551349647939
7,A1,0.9803733235207673,0.9818181818181818,0.6758858433645746,0.5961538461538461,0.5767922354105078,0.5947052141654116,0.6202943444413205,0.6478785332360111,0.4750396388763926,0.22518175787959982
8,A1,0.9153242723964085,0.9727272727272728,0.6680760334394982,0.6098901098901099,0.5791334733381412,0.6036998208909254,0.7832187888779227,0.6165418379401392,0.48753725402446824,0.2262340434240191
9,A1,0.8363475326065705,0.9636363636363636,0.6646520623465801,0.5837912087912088,0.5718050542019589,0.5867908562419489,0.6426975615648809,0.6056589540506908,0.5424939357591053,0.25864221294258105
10,A1,0.7357911005198399,0.9545454545454546,0.6579331303831523,0.5604395604395604,0.5657733903610964,0.5697000260132228,0.639542299031106,0.61423734878747,0.5384091267603054,0.266375006743784
11,A1,0.6357559532484162,0.9454545454545454,0.6623134903301379,0.603021978021978,0.5633111132695631,0.5896072297387873,0.6836885551232487,0.58866827149167,0.5648977796112264,0.2712039392799275
12,A1,0.5651998258082667,0.9363636363636364,0.676309913951216,0.6016483516483516,0.5869243160405976,0.60673452445411,0.6274533770434113,0.614775874216716,0.5759896463953548,0.29061156314504794
13,A1,0.45877814996186816,0.9272727272727272,0.6533329609918901,0.5892857142857143,0.5545158795695543,0.5828956093648792,0.6887902127288456,0.5709638816604785,0.5774579674996374,0.297321999573378
14,A1,0.4103455334623283,0.9181818181818182,0.6739152113846054,0.6057692307692307,0.5826116894027851,0.6052165282415136,0.6355084911979297,0.6026738956897554,0.5904001280173915,0.2857627262360275
