epoch,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,joint,epoch_seconds
1,1.7444672562251582,0.4329896907216495,0.4326923076923077,0.4225136901607491,0.4214030691971869,0.9909796356684067,0.5177980961749168,0.518930559682198,1.347733333997894
2,1.4430005739782459,0.5667157584683358,0.5288461538461539,0.5266624760461635,0.5432567964882228,0.6777194677167674,0.597705097376507,0.6534981014663979,0.9850093169952743
3,1.2821103523824817,0.6285714285714286,0.6401098901098901,0.6165796198405884,0.6399763306764709,0.6322317259091306,0.619958731172167,0.7504949117699924,0.8526987130171619
4,1.1517412863045096,0.6568483063328424,0.6167582417582418,0.6076721778028238,0.6260595182665554,0.6174456915331386,0.6352103055424088,0.7458932311373214,0.965834108996205
5,1.0739960508925892,0.6910162002945508,0.6057692307692307,0.6005034266993259,0.6162558386978425,0.6591831212853732,0.6212479386111744,0.7338426406426071,0.7622943460009992
6,1.0234067306340298,0.6939617083946981,0.6304945054945055,0.619407997650379,0.6363897772118892,0.6027568822455078,0.6414962621890677,0.7596901671227957,0.9281791629618965
7,0.9569385987575924,0.7263622974963181,0.6071428571428571,0.5934123956366862,0.610712825819464,0.6067997961430452,0.6320651428393578,0.7312020214750908,0.8881968880305067
8,0.8772016017236443,0.7540500736377025,0.5961538461538461,0.5919888904724678,0.6040219301035399,0.5975922038236564,0.6293042341812977,0.729395208890337,0.7725891770096496
9,0.7878496566108454,0.7832106038291605,0.614010989010989,0.5956142419569925,0.6144202573372812,0.6708080135803967,0.5879420662907009,0.7202394914103212,0.7726476709940471
10,0.7297846805826526,0.8002945508100148,0.5782967032967034,0.5699924983399624,0.5860460589966159,0.6657444423104247,0.5969633329357314,0.6970418501635478,0.8029453770141117
11,0.6534143304713419,0.8324005891016201,0.5604395604395604,0.5620560225200405,0.5718343714734744,0.6383170451054856,0.5928706784162927,0.6889964572872642,0.7923913290142082
12,0.5409369970036444,0.8592047128129602,0.5934065934065934,0.5749065037625479,0.5950926457748957,0.6652574488619064,0.5932490881254696,0.7010435274985185,0.7728355280123651
13,0.49170002842617927,0.887481590574374,0.5618131868131868,0.5592380294280559,0.570851226643086,0.664295564808916,0.5792708287374487,0.6819125511187876,0.9057263160357252
14,0.423732831099323,0.914580265095729,0.592032967032967,0.583432459003547,0.5991354782337401,0.6756333805830793,0.5767467731518604,0.7050980396054094,0.9779057549894787
