epoch,model_kind,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,classification_score,regression_score
1,raw,1.357770710209157,0.4524300441826215,0.5645604395604396,0.4905020147051311,0.5328916863424731,0.702586367945724,0.5018505029580075,0.5238283058900199,0.47843095735981667
2,raw,1.1026592899404675,0.6279823269513991,0.5837912087912088,0.48286635959457075,0.531575634991934,0.7216215184045403,0.5942447116011809,0.5282825417330579,0.5701906609876962
3,raw,1.0249013606859412,0.6580265095729013,0.6222527472527473,0.5936512748896342,0.6174280922095053,0.6071879318075774,0.5931005397694057,0.6065219374530351,0.5728609420424864
4,raw,0.9159326761917091,0.6977908689248895,0.5975274725274725,0.579676255367186,0.6032029332974764,0.6467698418658744,0.5826445604255639,0.587709303089315,0.5610855656967014
5,raw,0.8539753976029746,0.7213549337260677,0.5824175824175825,0.5846259926351506,0.5929137287711786,0.5877820082000204,0.6469943503916001,0.5836322080372449,0.6274016167849328
6,raw,0.7970657868483632,0.7511045655375552,0.603021978021978,0.5784085088432914,0.5994524532986072,0.651658453109321,0.61976356597204,0.5894845699737004,0.5980416175350626
7,raw,0.6528361389185788,0.8008836524300442,0.6016483516483516,0.5591794024278177,0.5893203416537999,0.6151140934732041,0.6287353888940961,0.578290429577058,0.6082315857783226
8,raw,0.546531233274884,0.840058910162003,0.5673076923076923,0.5651460831356048,0.5760558213688215,0.6130429434348256,0.6036156266919581,0.5661188072630441,0.5831808619107972
9,raw,0.46734442246504493,0.8771723122238586,0.6236263736263736,0.5727502649542088,0.6040291407504653,0.6592442341091925,0.6377228867169573,0.595644513856683,0.6157480789133176
10,raw,0.37768136822071274,0.9134020618556701,0.5947802197802198,0.5706663718698104,0.5910822088763046,0.6418429879195973,0.6137052430424124,0.5815176034294947,0.5923104767784257
11,raw,0.3225297032557812,0.9266568483063329,0.5837912087912088,0.5784820835936285,0.5921766500136437,0.6287100971612445,0.5997835354360729,0.5808711899325396,0.5788265321973647
