epoch,train_loss,accuracy,f1_macro,f1_weighted,mae,pearson,joint
1,1.7246494147699203,0.5467032967032966,0.5401379832237008,0.5565255065135429,0.6966209547950152,0.5306737707688752,0.6495857274227523
2,1.3492454861251402,0.6057692307692307,0.5849896754070906,0.6042124149456904,0.7585033217015175,0.5994879385211266,0.709578215980655
3,1.2185957848745892,0.6291208791208791,0.6032750570032431,0.6262105662359031,0.7999045086415628,0.645657948991213,0.7380260606296609
4,1.1354829993606173,0.6277472527472527,0.6015710316828583,0.6262532554127732,0.6630892245313869,0.636762269871881,0.7386586249997823
5,1.0556490605985616,0.6181318681318682,0.5734066777705676,0.605089765947237,0.6300908022507089,0.6492840209339329,0.7147246562623606
6,0.9940787939958169,0.5975274725274725,0.5937514928129948,0.6049800181556912,0.6198336089523714,0.6227035034925922,0.7287662483877304
7,0.8997548291101142,0.6071428571428571,0.5907581106068246,0.615131031348883,0.6563849909705043,0.6405716959233774,0.7290215348886522
8,0.8054956621687177,0.603021978021978,0.5830840813813613,0.6050831349289453,0.6454847527048704,0.6343223847348861,0.7201485191415872
9,0.7094741256584024,0.6112637362637363,0.5731736297913151,0.6021643095356717,0.6232730098261248,0.5927944836575475,0.7005964837114979
10,0.6265367629102698,0.554945054945055,0.5518711250405844,0.5675525912367013,0.6215509658411995,0.6038849978429384,0.6821240089732791
11,0.5253558746525939,0.5714285714285714,0.5546746598415028,0.5749677021505563,0.6393105598907933,0.6061611231276587,0.6849045886270577
