epoch,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,joint,epoch_seconds,raw_accuracy,raw_f1_macro,raw_f1_weighted,raw_mae,raw_pearson,ema_accuracy,ema_f1_macro,ema_f1_weighted,ema_mae,ema_pearson
1,1.7444672562251582,0.4329896907216495,0.4326923076923077,0.4225136901607491,0.4214030691971869,0.9909796356684067,0.5177980961749168,0.518930559682198,1.4500648389803246,0.4326923076923077,0.4225136901607491,0.4214030691971869,0.9909796356684067,0.5177980961749168,0.3557692307692308,0.29872229667973677,0.33188449600330855,1.0096805169959335,0.09569663816212626
2,1.4430005739782459,0.5667157584683358,0.5288461538461539,0.5266624760461635,0.5432567964882228,0.6777194677167674,0.597705097376507,0.6534981014663979,0.9336916810134426,0.5288461538461539,0.5266624760461635,0.5432567964882228,0.6777194677167674,0.597705097376507,0.36126373626373626,0.31679567443024065,0.3473306562488097,0.9436941864349557,0.15126637260569475
3,1.2821103523824817,0.6285714285714286,0.6401098901098901,0.6165796198405884,0.6399763306764709,0.6322317259091306,0.619958731172167,0.7504949117699924,0.8310614919755608,0.6401098901098901,0.6165796198405884,0.6399763306764709,0.6322317259091306,0.619958731172167,0.39697802197802196,0.36561493639619763,0.3923841401057807,0.870655102726612,0.23073794137889328
4,1.1517412863045096,0.6568483063328424,0.6167582417582418,0.6076721778028238,0.6260595182665554,0.6174456915331386,0.6352103055424088,0.7458932311373214,0.9482661919901147,0.6167582417582418,0.6076721778028238,0.6260595182665554,0.6174456915331386,0.6352103055424088,0.45604395604395603,0.4348997955796714,0.4590505431105825,0.8048066958207138,0.3234859552964676
5,1.0739960508925892,0.6910162002945508,0.6057692307692307,0.6005034266993259,0.6162558386978425,0.6591831212853732,0.6212479386111744,0.7338426406426071,0.9829061849741265,0.6057692307692307,0.6005034266993259,0.6162558386978425,0.6591831212853732,0.6212479386111744,0.5096153846153846,0.49771752974526895,0.5185425387171271,0.7558435201745641,0.40910737611856174
6,1.0234067306340298,0.6939617083946981,0.6304945054945055,0.619407997650379,0.6363897772118892,0.6027568822455078,0.6414962621890677,0.7596901671227957,1.0400750419939868,0.6304945054945055,0.619407997650379,0.6363897772118892,0.6027568822455078,0.6414962621890677,0.5439560439560439,0.5358298999974612,0.5546206336754392,0.718034769562879,0.4809266802756749
7,0.9569385987575924,0.7263622974963181,0.6071428571428571,0.5934123956366862,0.610712825819464,0.6067997961430452,0.6320651428393578,0.7312020214750908,1.0100552640506066,0.6071428571428571,0.5934123956366862,0.610712825819464,0.6067997961430452,0.6320651428393578,0.5686813186813187,0.5592081124660854,0.5788206313644065,0.6926766552298411,0.530834807977733
8,0.8772016017236443,0.7540500736377025,0.5961538461538461,0.5919888904724678,0.6040219301035399,0.5975922038236564,0.6293042341812977,0.729395208890337,1.0602638290147297,0.5961538461538461,0.5919888904724678,0.6040219301035399,0.5975922038236564,0.6293042341812977,0.5755494505494505,0.5653282363160627,0.5851105016011409,0.6727567095529214,0.5658903084522404
9,0.7878496566108454,0.7832106038291605,0.614010989010989,0.5956142419569925,0.6144202573372812,0.6708080135803967,0.5879420662907009,0.7202394914103212,0.9098881160025485,0.614010989010989,0.5956142419569925,0.6144202573372812,0.6708080135803967,0.5879420662907009,0.5824175824175825,0.5727520602499528,0.5924573200747263,0.6565938432564048,0.5893820906469148
10,0.7297846805826526,0.8002945508100148,0.5782967032967034,0.5699924983399624,0.5860460589966159,0.6657444423104247,0.5969633329357314,0.6970418501635478,0.830433797033038,0.5782967032967034,0.5699924983399624,0.5860460589966159,0.6657444423104247,0.5969633329357314,0.5741758241758241,0.5656822045550667,0.5846738435362953,0.6450277488017621,0.6061458856746296
11,0.6534143304713419,0.8324005891016201,0.5604395604395604,0.5620560225200405,0.5718343714734744,0.6383170451054856,0.5928706784162927,0.6889964572872642,0.8318155109882355,0.5604395604395604,0.5620560225200405,0.5718343714734744,0.6383170451054856,0.5928706784162927,0.5755494505494505,0.566681270999898,0.5863233777963623,0.6341687821232072,0.6188524973566355
12,0.5409369970036444,0.8592047128129602,0.5934065934065934,0.5749065037625479,0.5950926457748957,0.6652574488619064,0.5932490881254696,0.7010435274985185,0.9916508080204949,0.5934065934065934,0.5749065037625479,0.5950926457748957,0.6652574488619064,0.5932490881254696,0.5782967032967034,0.5691994545085272,0.5880966517017067,0.6260366336724613,0.6273592364544908
13,0.49170002842617927,0.887481590574374,0.5618131868131868,0.5592380294280559,0.570851226643086,0.664295564808916,0.5792708287374487,0.6819125511187876,0.8699683419545181,0.5618131868131868,0.5592380294280559,0.570851226643086,0.664295564808916,0.5792708287374487,0.5879120879120879,0.5794649739223702,0.5974253800745063,0.6206414783725279,0.6333332224242787
14,0.423732831099323,0.914580265095729,0.592032967032967,0.583432459003547,0.5991354782337401,0.6756333805830793,0.5767467731518604,0.7050980396054094,0.8788696260307916,0.592032967032967,0.583432459003547,0.5991354782337401,0.6756333805830793,0.5767467731518604,0.5879120879120879,0.5794798620885577,0.5967879162456324,0.6196998982980674,0.6359257257940701
