epoch,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,joint,epoch_seconds
1,1.6759404402943285,0.5098674521354933,0.5673076923076923,0.524358073730798,0.5557281225156101,0.6927290920578814,0.5576633474119297,0.6406829408485177,34.336449893016834
2,1.3421673220647892,0.6253313696612666,0.5906593406593407,0.579010616878637,0.6010900608813843,0.6343021441943775,0.5932376190339532,0.706176616830646,35.93859434500337
3,1.2217691504339656,0.6621502209131075,0.5879120879120879,0.5895452131835355,0.5975074623863588,0.6222914645626149,0.6022413333262182,0.7193624976963362,35.46036849799566
4,1.1218763254058193,0.682179675994109,0.6277472527472527,0.6036418330773169,0.6254326079066863,0.6034866575590478,0.61737115745212,0.737868400521712,33.708865672000684
5,1.0462150990683148,0.7110456553755523,0.6277472527472527,0.5993209008907731,0.6252951502851211,0.6036266592293812,0.6255726041793261,0.7355931632946252,34.67733115400188
6,0.9710618701059494,0.7248895434462445,0.6291208791208791,0.5833952993322252,0.6128236311482529,0.5977809027403115,0.6473306222491716,0.7253019248031743,32.44135211000685
7,0.9013730522612451,0.7587628865979381,0.5865384615384616,0.581539124567149,0.5920689789310145,0.6755853928875045,0.6182131874399754,0.7135729083308927,35.46027972199954
8,0.7988653902156811,0.7873343151693667,0.5961538461538461,0.5917741142512767,0.606065977330786,0.6115908012781381,0.6226448198743058,0.7270489591772484,32.74002589198062
9,0.7117092347760715,0.8176730486008836,0.6016483516483516,0.5879446662752273,0.6045100915054037,0.6782528910476325,0.5981700005336795,0.7148787367070595,33.84765932901064
10,0.6078987672855037,0.8530191458026509,0.6016483516483516,0.5837954921436557,0.6048695170590996,0.674981199994563,0.6127308991964769,0.7144788436096228,32.214772454986814
11,0.5209648413977153,0.8871870397643593,0.5975274725274725,0.5651191777453727,0.5902832051327084,0.6834557329958233,0.6055005483803448,0.6937124570739315,31.32478743401589
12,0.42405644227081624,0.9134020618556701,0.5975274725274725,0.5590318399065377,0.5860385307414236,0.6383233815450784,0.6103630266531245,0.6903451505183162,24.404506696970202
