modality,accuracy,macro_f1,mae,pearson
T,0.5989010989010989,0.5714709828725725,0.6811672589354023,0.5202530267819009
A,0.6153846153846154,0.5934190181011689,0.6290428455603043,0.6097052913845089
V,0.6291208791208791,0.5998116289279464,0.6113003472655891,0.6276502262291422
TA,0.5837912087912088,0.5653875666799631,0.6781253409440818,0.5176072931855664
TV,0.5947802197802198,0.5651965142039007,0.6672138019617145,0.5362020797531382
AV,0.614010989010989,0.5897243526318263,0.608332505643465,0.6290066960150991
