epoch,train_loss,clean_accuracy,clean_f1_macro,clean_f1_weighted,clean_mae,clean_pearson,missing_accuracy,missing_f1_macro,missing_f1_weighted,missing_mae,missing_pearson,balanced_classification
0,,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5728021978021978,0.5556687416796323,0.5764803853144719,0.6559576426282817,0.5648002955854976,0.5959673974724313
1,0.03295753694231242,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5728021978021978,0.5556687416796323,0.5764803853144719,0.6559575866005296,0.5648003053395406,0.5959673974724313
2,0.03277912951498664,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5728021978021978,0.5556687416796323,0.5764803853144719,0.6559574784852364,0.5648003201237807,0.5959673974724313
3,0.03272500484219879,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5728021978021978,0.5556687416796323,0.5764803853144719,0.6559573936952242,0.5648003140030624,0.5959673974724313
4,0.10399299683136769,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5947802197802198,0.5721309979930669,0.5932986280276921,0.6527553809503513,0.5667363709691621,0.6054395729036808
5,0.08830259166255663,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5906593406593407,0.568044295816216,0.5896617470921331,0.6545760538760038,0.5650441405188529,0.603388532002849
6,0.07701700744153538,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5865384615384616,0.565329245381231,0.5862746417384498,0.6554180261813959,0.56278335405724,0.6017146953310304
7,0.08365075791718114,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.570054945054945,0.5508224234263399,0.5706915259608413,0.6642173243437735,0.555132543801693,0.5940165280846441
8,0.15228657311204594,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5741758241758241,0.5539686214234744,0.5739031198304905,0.6523050008249561,0.5612844902625562,0.5958089303360539
9,0.12958543998202388,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5796703296703297,0.5570732836250518,0.5784599054403671,0.6558617782100375,0.5606060652605795,0.5978989761777513
10,0.13224183038279344,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5810439560439561,0.5610572564253142,0.5809682043167573,0.6544441349731162,0.5575321365027452,0.5993036346318895
11,0.12772153398380592,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5851648351648352,0.5632970126284693,0.5843389873344789,0.6525491048768355,0.5574591092486337,0.600846765389955
12,0.13788159153787113,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5824175824175825,0.56213893776302,0.5825122842743988,0.6540721345598206,0.5559440928260639,0.5999101629338245
13,0.2516471382510354,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5947802197802198,0.571615605741636,0.5924458410710672,0.6560984446606688,0.5569765024923168,0.6052978400345372
14,0.22177875858727195,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5934065934065934,0.5699692221160739,0.5907960406839983,0.6549514920660551,0.5583690664411417,0.6045360186034419
