condition,modality,rate_or_length,position,accuracy,f1_macro,f1_weighted,mae,pearson
missing_duration,T,1,random,0.5027472527472527,0.46672877364047866,0.49543935687562835,0.7556991150738943,0.36895433007256023
missing_duration,T,3,random,0.4977106227106227,0.465062670845422,0.4932182452119438,0.7555768552597445,0.36104703883920264
missing_duration,T,5,random,0.49130036630036633,0.46204132842225976,0.4895604455488041,0.7566951474430396,0.3482320293434249
missing_duration,T,10,random,0.46840659340659346,0.4461035538572197,0.471253638259515,0.7713769274314307,0.3198237469367958
missing_duration,T,15,random,0.45009157509157505,0.43049414517812923,0.4544788540999049,0.7810678024707625,0.28767828638877485
missing_duration,A,1,random,0.50503663003663,0.47157926766523556,0.4987539331335868,0.7507087380759954,0.37515404418920983
missing_duration,A,3,random,0.5032051282051282,0.4706925802783302,0.4974140731052195,0.7494986761144308,0.37612815123804477
missing_duration,A,5,random,0.5027472527472527,0.4701229167674293,0.49694839141589825,0.7486850690290002,0.3775814292160409
missing_duration,A,10,random,0.5032051282051282,0.4710192411295034,0.4979069837010181,0.7476890552141865,0.37622830252256784
missing_duration,A,15,random,0.5068681318681318,0.47619946750921466,0.5021383642188096,0.7440209226874036,0.3805458630511642
missing_duration,V,1,random,0.5059523809523809,0.47270191489964636,0.49978679037258483,0.7497221123176732,0.3762260051333202
missing_duration,V,3,random,0.5054945054945055,0.47373458106795296,0.5003067601911556,0.7481764726951204,0.37659302584713555
missing_duration,V,5,random,0.5036630036630036,0.4733824960370722,0.4999304658242818,0.7440756320737596,0.3819311071944875
missing_duration,V,10,random,0.49725274725274726,0.46984321836928356,0.49581764802387235,0.7376460699655475,0.3863324909914778
missing_duration,V,15,random,0.49633699633699635,0.47230211177886344,0.4964705090804802,0.7335314795509942,0.38471274267168915
