variant,name,epoch,clean_accuracy,clean_f1_macro,clean_f1_weighted,clean_mae,clean_pearson,missing30_accuracy,missing30_f1_macro,missing30_f1_weighted,missing30_mae,missing30_pearson,robust_drop_f1,robust_drop_corr
A0,BasicFusion,16,0.489010989010989,0.4719405133908244,0.4932469487823815,0.7844712351666953,0.3538362340875608,0.5,0.47576166938249226,0.5009647200703983,0.7775945495155251,0.3533655638200181,-0.0038211559916678794,0.00047067026754271657
A1,+ContinuousSpanAugmentation,10,0.5027472527472527,0.4588309084488717,0.4929264211549873,0.8280929249687667,0.3670587002960365,0.5096153846153846,0.4723023285286347,0.502860658264781,0.813223187523193,0.3741143229446633,-0.013471420079762986,-0.0070556226486268026
A2,+SpanGeometryEncoding,9,0.49175824175824173,0.46217442355552435,0.4885049871480935,0.803812476676175,0.35019014222499983,0.510989010989011,0.4894172220173993,0.5121720048036056,0.8022562081576645,0.36930661101294726,-0.02724279846187494,-0.019116468787947427
A3,+TemporalReconstruction,15,0.489010989010989,0.4663707448412919,0.48995451304536863,0.7826322857808619,0.3714484977005772,0.4876373626373626,0.47076099597771653,0.49177775078437835,0.7871473614870991,0.36595597060947255,-0.004390251136424661,0.005492527091104649
A4,+ReliabilityFusion,18,0.4739010989010989,0.4602951317313157,0.48010942735943474,0.743071771612529,0.33504895645997623,0.4876373626373626,0.4759719066961905,0.4943980136126105,0.7387290291966625,0.33992687333129157,-0.015676774964874796,-0.004877916871315335
A5,+CleanMaskedConsistency,12,0.5054945054945055,0.471904058482249,0.4991373928547159,0.7509844316394135,0.375191796839608,0.510989010989011,0.486834001470226,0.5101019485553162,0.7443573271451457,0.3757505213870214,-0.014929942987977007,-0.0005587245474134028
