epoch,train_loss,selection_joint,clean_accuracy,clean_f1_macro,clean_f1_weighted,clean_mae,clean_pearson,missing30_accuracy,missing30_f1_macro,missing30_f1_weighted,missing30_mae,missing30_pearson
1,2.5040910567078636,0.4541038690728155,0.3901098901098901,0.31248756423504176,0.35434654771102436,0.7882320984058174,0.16101942326730737,0.3708791208791209,0.3097104665360569,0.344556963055643,0.7901349779276643,0.13993739569438932
2,2.3082977667033115,0.463492189331023,0.4052197802197802,0.36374355014751547,0.398595558997745,0.9280137751522668,0.15089031314345724,0.3695054945054945,0.3589717513946756,0.37875203018728737,0.943797932157055,0.14132479459492517
3,2.2933825143029756,0.48680336844626587,0.44505494505494503,0.3413992273337931,0.3932631166655432,0.8190943094016473,0.17427735700445435,0.4326923076923077,0.3515205446722842,0.39662597204013295,0.8197200203846607,0.1726728152569804
4,2.2854203219725706,0.4744486443369835,0.37637362637362637,0.37323007096005906,0.3774881685098709,0.8220124649268366,0.23997489434229133,0.3557692307692308,0.3500567731797129,0.34827994049466504,0.8195829785903558,0.23172491969035333
5,2.2678356382334344,0.533612988454147,0.489010989010989,0.386802939150867,0.43600614862521614,0.7891842590033775,0.2821058845621601,0.489010989010989,0.40418786951683866,0.44874997382173687,0.7877260023700189,0.2742462959120571
6,2.1912435215210246,0.5574920775968493,0.4766483516483517,0.43924029677788307,0.4697254955076978,0.761770462381729,0.3604475692693601,0.4697802197802198,0.4517762861090164,0.4734686126544476,0.7510880237826784,0.35583778962218066
7,2.1276617239568836,0.5138714704398872,0.3873626373626374,0.39124346968995244,0.38139591738129425,0.7523425010868967,0.35640540656203756,0.38461538461538464,0.3842957864696995,0.3677464364576166,0.7448489534979492,0.36365237357235003
8,2.0998668336422646,0.547334397163294,0.5137362637362637,0.38856440591837776,0.4448426581141792,0.8042496954048357,0.3633487034387953,0.5123626373626373,0.39414056684355686,0.4483439187331912,0.7932796381224602,0.3676681706681026
9,2.053036239659675,0.5576104081034374,0.49038461538461536,0.4506397661981425,0.4812346233540179,0.7784339533069754,0.3434124566095383,0.4793956043956044,0.4464890468470715,0.4749742126871756,0.7676749738751384,0.35899271441454517
10,1.9956643848775704,0.5500164507923011,0.45054945054945056,0.4485575007976778,0.46021334934429575,0.7580189109005284,0.3690137749610592,0.4423076923076923,0.44285591612358105,0.4525897193494784,0.749917380687503,0.3754866088519984
11,1.970052253420108,0.5477631242024352,0.48214285714285715,0.4483207231520335,0.47697241511848565,0.8186256242989547,0.40633503485493033,0.4532967032967033,0.4279473353885505,0.4537456928558871,0.8178151013386553,0.4043850884735953
12,1.9070034171933326,0.5828901020779522,0.5054945054945055,0.471904058482249,0.4991373928547159,0.7509844316394135,0.375191796839608,0.510989010989011,0.486834001470226,0.5101019485553162,0.7443573271451457,0.3757505213870214
13,1.851906794253911,0.5611633546634531,0.4697802197802198,0.45486068378016326,0.4744062489538479,0.752450049723368,0.35702473940241913,0.47115384615384615,0.46040690088659747,0.47737413327258044,0.7487932939672776,0.3573771401043712
14,1.7902827274019473,0.557248218434016,0.48214285714285715,0.4538053709844891,0.48058406084817057,0.8092694401945394,0.35687447800427485,0.4725274725274725,0.45046939548441606,0.47393205116626197,0.7806115636783063,0.3638611205321403
15,1.717491742606475,0.5660777323690696,0.4876373626373626,0.46006132140277894,0.485227720371331,0.8399652482834287,0.3681548282406926,0.489010989010989,0.4655320314108291,0.4893955754041556,0.8095124359834289,0.37091516737362906
16,1.6544236758044948,0.5495890096908427,0.4793956043956044,0.4623128928684484,0.48295737043447673,0.7926632123884162,0.344139940818161,0.46016483516483514,0.4437689928767476,0.46398636408688665,0.786412739388422,0.34839432289754724
17,1.5838703758248658,0.5543058001485471,0.4725274725274725,0.45650793650793653,0.477927617697203,0.794638969375468,0.32909470275242836,0.4697802197802198,0.4567437976407849,0.47688528159519816,0.7834297794505511,0.32937524001396024
18,1.4972926924161822,0.5647594674930008,0.4945054945054945,0.46308026785672696,0.49197828625481826,0.8240501492885185,0.34798883614321513,0.4958791208791209,0.4623975557768416,0.49186881083038814,0.8048969326979943,0.3535631150898055
19,1.4423088409076228,0.5397045058779596,0.44642857142857145,0.4430371311628904,0.45474849539251266,0.8313896419678093,0.33029791773558287,0.4368131868131868,0.4397424452377711,0.4442336422984168,0.8082646728407881,0.3360366958678598
20,1.3663040304852423,0.56394811669371,0.49313186813186816,0.4680382591481583,0.4936088893683658,0.8216799617470575,0.33247367752979584,0.4945054945054945,0.46758927932730215,0.4939961250159721,0.8062231151452979,0.3358132084803639
21,1.281564861536026,0.5462581108248089,0.46703296703296704,0.45816848203678046,0.4743713756169427,0.8351674019730047,0.3062470644633865,0.45604395604395603,0.44978402591472494,0.4654301068102603,0.8058907734079844,0.3209380113125226
22,1.2304002531220979,0.554619438279818,0.4835164835164835,0.45689582191094363,0.4827565623389892,0.8577703586264621,0.3291258444727195,0.48214285714285715,0.4511841174674596,0.4809567514669469,0.8325666832802548,0.3423809363560444
