epoch,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,joint,epoch_seconds
1,1.6854464862948266,0.4191458026509573,0.4876373626373626,0.47820941789314225,0.4849519794941263,0.6650468802673148,0.5620108281152458,0.5965438955797099,1.5515003519831225
2,1.3888563786711647,0.5905743740795287,0.5892857142857143,0.5781298132152183,0.6008167347797423,0.6286769075662021,0.6275326696147677,0.7140570837000367,1.1573987760348246
3,1.2789863515123028,0.6203240058910162,0.614010989010989,0.6112228595234809,0.6215621687393936,0.6451730934378836,0.6223954726569798,0.745315957906463,1.4391955529572442
4,1.182880013345558,0.6568483063328424,0.603021978021978,0.5982779153056973,0.6132222379437787,0.6727597719217666,0.654771879487549,0.7395455594468591,1.0070375709910877
5,1.093733901175383,0.6804123711340206,0.5837912087912088,0.5810331503860678,0.5950027532874946,0.5984666367099175,0.6269233606626503,0.7178151026613998,0.8454620339907706
6,1.0532067523938473,0.6824742268041237,0.6057692307692307,0.5926453139438478,0.6140654978415955,0.5767746130890433,0.665773938465491,0.7398629781239192,0.9659086609608494
7,0.9905115783771622,0.7160530191458027,0.6181318681318682,0.6142736388204062,0.6241072776323933,0.5922334992977955,0.6482752710784885,0.7566013399467685,1.169114618038293
8,0.9228899724015566,0.7272459499263623,0.570054945054945,0.5787626278300215,0.5810137323834323,0.5897253936343406,0.6432381977416644,0.7199146641442928,1.1413045400404371
9,0.8485593698292135,0.7496318114874816,0.6153846153846154,0.6024543956666555,0.6174336448362565,0.6313608395911825,0.6389808340413757,0.7411542428572933,0.9262443279731087
10,0.7737704228574984,0.7820324005891016,0.5989010989010989,0.5897082311156424,0.6060909550863935,0.6389556153668449,0.6069692611637553,0.7201520258943531,0.835196781961713
11,0.7129582876914016,0.8073637702503682,0.6112637362637363,0.5996043211511773,0.6144597263503785,0.6710431983315125,0.6124223887299192,0.7303418117226068,0.8636707629775628
12,0.628428067002341,0.8297496318114875,0.603021978021978,0.5874798475816911,0.6047268317472004,0.647442568578069,0.6087363572215697,0.7180825179344812,2.0023209290229715
13,0.5463105597507174,0.8609720176730487,0.5892857142857143,0.5837339927521158,0.5966928638327089,0.6486144873731293,0.5941598045556853,0.7106534609785994,0.6611591519904323
14,0.4878497254625659,0.884241531664212,0.5989010989010989,0.5862568059317628,0.5990220564955852,0.6685391499732549,0.5923327388619894,0.7120553523148182,0.6596491350210272
15,0.43028177174730836,0.9060382916053019,0.6181318681318682,0.6044348866362556,0.6186719484669068,0.6839753366887805,0.595415918258215,0.7304896883111832,0.7025885490002111
