epoch,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,joint,epoch_seconds
1,1.724388707411681,0.43681885125184094,0.4684065934065934,0.2847446852098599,0.35130476116897835,0.6969463629357051,0.5153947115004596,0.39036181765378464,2.3387437079800293
2,1.4792506252655961,0.5787923416789397,0.5206043956043956,0.45694048255779407,0.4894900072293547,0.6548322283086856,0.596714745730017,0.5842914280466754,1.8178997579962015
3,1.2983923470470267,0.6223858615611193,0.6098901098901099,0.5897198268367998,0.6138182391037725,0.6076665459868209,0.6473220871961012,0.731294797102931,1.8151432260056026
4,1.2132125701143148,0.6509572901325479,0.5673076923076923,0.5688077813006932,0.5700051918411408,0.6429940822059647,0.62573006297245,0.7038071609702735,1.926368205982726
5,1.1249255034285532,0.6618556701030928,0.5192307692307693,0.5107985936715219,0.5264877847750776,0.6083087154547684,0.6184197434992823,0.6451265723645169,1.8187620950047858
6,1.0682410505455984,0.6877761413843888,0.592032967032967,0.590102213242902,0.5974635900188581,0.602166417503063,0.6499681361948023,0.7325220333748339,2.198242823011242
7,0.9777397917749736,0.7251840942562592,0.6167582417582418,0.5980721947562248,0.6167234827353136,0.6160808558526876,0.6397094179352776,0.7374635207116212,1.9331422389950603
8,0.9135673712117012,0.7419734904270987,0.6222527472527473,0.5981949906769447,0.6195204660520759,0.5999312813714873,0.6345513949078575,0.7368351300248596,2.1228267949773
9,0.7997316767072453,0.7758468335787924,0.5865384615384616,0.5821671595098866,0.5973174973400386,0.5950091339498733,0.6314059722417824,0.7201850147720031,1.816504840971902
10,0.7362013233939247,0.8076583210603829,0.6112637362637363,0.5613798657753799,0.5943785208001027,0.6602628302330581,0.6253673343940448,0.6957129383661225,1.8141227309824899
11,0.6189415611571549,0.8462444771723122,0.5769230769230769,0.5735801106512256,0.5884122838572857,0.6098090077278328,0.6097517878743939,0.705691090695563,2.0035840629716404
12,0.571116803537512,0.8683357879234168,0.570054945054945,0.5653908750086715,0.5777624356334419,0.6662595455539874,0.5899868306977435,0.6906789311646411,2.110774651984684
13,0.5140408354465951,0.8857142857142857,0.5947802197802198,0.5636247640543027,0.5888661131303656,0.672076995640924,0.6004549027631153,0.6913359232237174,1.827665649005212
14,0.44777476717608633,0.9101620029455081,0.5892857142857143,0.5665487784707762,0.5878891376789638,0.635020675215036,0.601506556414353,0.6957580617338632,1.8727044260012917
15,0.3867755474898737,0.9272459499263623,0.5810439560439561,0.5484321823766921,0.5738576902171212,0.655900391078091,0.5993080107995794,0.6763958387073172,1.9673619800014421
16,0.3273654345755286,0.9463917525773196,0.5975274725274725,0.5659628766676933,0.5914111481389431,0.6781856263428031,0.5945023272902922,0.6919822709455062,1.8130004730192013
