epoch,train_loss,accuracy,f1_macro,f1_weighted,mae,pearson,joint
1,1.7061001470950847,0.43131868131868134,0.42004105165389366,0.43364458003378525,0.6851170972950058,0.5509793125967029,0.5349486432265692
2,1.396867360027743,0.570054945054945,0.5626492203832676,0.5729594468199117,0.6732506085254999,0.5894805975973472,0.6875776828317544
3,1.2466512322425842,0.6002747252747253,0.5919488709096689,0.60326578110155,0.641709029316329,0.6229453247581248,0.7262949011219891
4,1.1640063448691031,0.6112637362637363,0.6045197733849998,0.6197744547406686,0.6066318387333572,0.6373750539036325,0.743642475569796
5,1.116310846637672,0.625,0.6052137692345138,0.627316600464174,0.6091256083298224,0.6311368314956236,0.7426937901640922
6,1.0615849145141565,0.5906593406593407,0.5915685101096763,0.6017784200013632,0.6073955770639209,0.628280670367648,0.7283921584661243
7,0.9782127586888595,0.6208791208791209,0.5976703120725863,0.6198950721300457,0.6285570619006099,0.6225270643870773,0.732350176106002
8,0.8874418374518274,0.5879120879120879,0.5848619213846113,0.5988720317228059,0.6087819823247168,0.6215631624404148,0.7199599792505579
9,0.7828287517590702,0.592032967032967,0.5813632863635446,0.5987141736674533,0.6102078771719179,0.5966311632608478,0.7101808146063593
10,0.6692848269928229,0.5879120879120879,0.578920219487286,0.5966374817130387,0.6515492082341282,0.5556419736541492,0.6961124059596857
11,0.5941657447758975,0.5741758241758241,0.5712353160112805,0.5836398013627756,0.6321856303990928,0.5676140755599768,0.6920659805546383
12,0.4873155137182961,0.5879120879120879,0.5645329229540693,0.58838065841873,0.6485265839875645,0.5660018987937624,0.6844158448529245
13,0.3869477302675516,0.5398351648351648,0.5441397998021197,0.5515030243802673,0.6525967586644833,0.5492117369959172,0.6596895087622829
