epoch,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,joint,epoch_seconds
1,1.635809687661453,0.5201767304860089,0.5686813186813187,0.46670888627710516,0.5167107023765741,0.6921439669155746,0.5561241683586189,0.5826684628029074,2.171590023965109
2,1.3077569864165615,0.6315169366715758,0.5934065934065934,0.57512579863664,0.6000484194666683,0.6476417458213221,0.5828080038002132,0.6992397413926493,1.8981279560248367
3,1.1919711735886587,0.6662739322533137,0.6181318681318682,0.6037458388844051,0.6233615766917247,0.6169493124450257,0.6044089447054579,0.7342830979792687,1.4962060380494222
4,1.0907607691388734,0.6916053019145803,0.6387362637362637,0.5998632010943913,0.6255140481953068,0.6025663430688667,0.6205224794812828,0.7349082761957498,1.4884917460149154
5,1.0193917737320555,0.7142857142857143,0.625,0.5839543196813478,0.6124719610811271,0.615431266636933,0.6188553139363355,0.7181537726108672,1.2750245890347287
6,0.9450842717164,0.7290132547864506,0.6291208791208791,0.5695428418779477,0.6021129215304656,0.5968971594798399,0.6458364485632485,0.7111053820360984,1.2753714449936524
7,0.8816187800096235,0.7584683357879234,0.6181318681318682,0.6024559709363647,0.6185183114553324,0.6712849108113045,0.6173186308372595,0.7344094649519695,1.274789615010377
8,0.784674733737265,0.780559646539028,0.6071428571428571,0.5988673926093663,0.6136462174593164,0.6135406401131499,0.6249558839988925,0.734655008938651,1.5006651079747826
9,0.7038995818073202,0.812960235640648,0.6057692307692307,0.5862000595091009,0.6066111595511855,0.6735659564207538,0.5920375380522852,0.7117572454748138,1.3998596700257622
10,0.6025387578307183,0.8483063328424153,0.6002747252747253,0.5679828691526662,0.5937434424432101,0.6637054034344056,0.6191068252353291,0.7006360620136849,1.3699275610269979
11,0.5264435616877158,0.8804123711340206,0.5824175824175825,0.5463805886867318,0.5732216377310722,0.6928867651789276,0.6020687033966123,0.6738015390299207,1.3309475019923411
