epoch,train_loss,accuracy,f1_macro,f1_weighted,mae,pearson,joint
1,1.6879206834264764,0.5563186813186813,0.43747187542513893,0.49168497267668443,0.7949146567933405,0.5720189591582284,0.5539794599882514
2,1.3916986483923146,0.5961538461538461,0.5868780578526115,0.6073952119701325,0.6327320143726276,0.6169447984571953,0.720023190321156
3,1.2378892218562918,0.6222527472527473,0.6162565540932391,0.6293361966567015,0.5889070618479989,0.6565524810251064,0.7607644389545825
4,1.1425379094943193,0.592032967032967,0.5960862263192033,0.6027011805805609,0.6660944808077497,0.6631190183896871,0.7396628315563667
5,1.067830395530647,0.6126373626373627,0.6087270288152721,0.6228797406969787,0.6494935170167182,0.6457867526447392,0.7485239330758996
6,1.0014908008732146,0.5934065934065934,0.5589714457082878,0.587787165857727,0.6416737001880513,0.6226860345115907,0.6932538309965838
7,0.9189606973542853,0.6181318681318682,0.6083925017801781,0.6230186543258734,0.6327599236531539,0.6274911869500736,0.7441733010625914
8,0.8289932838068322,0.5989010989010989,0.594858674851498,0.6073917512852137,0.6226474346355074,0.6153143693341349,0.7279323526971815
9,0.7263141558483732,0.5728021978021978,0.5713145561965621,0.5798604767078218,0.7054664334192728,0.603398434262409,0.6986486169815219
10,0.6458956024176638,0.5934065934065934,0.5862747942977328,0.5981858203798597,0.6705717070896183,0.6038544441809374,0.7148860151066465
11,0.545655681423738,0.6043956043956044,0.5862035984514704,0.6066777010439774,0.642082877480329,0.6062246316203174,0.7163569937738722
