epoch,model_kind,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,classification_score,regression_score
1,raw,1.3366357107576812,0.4521354933726068,0.5618131868131868,0.42354626158135006,0.481720333087612,0.7936019340982906,0.44925611904879803,0.4857663779356766,0.42280272124552165
2,raw,1.0943038448406073,0.6391752577319587,0.5673076923076923,0.41699348720567436,0.47756391643089136,0.8526733590988442,0.6019874548585358,0.48463487950158246,0.5735650095552409
3,raw,1.0376992439135184,0.6630338733431517,0.6153846153846154,0.49919880354662965,0.5499072999072998,0.606148751874091,0.6351354733666038,0.5514824188737233,0.6149305149708008
4,raw,0.9728842687185453,0.69720176730486,0.614010989010989,0.5345518446382503,0.5746978302723872,0.6594831142088419,0.592309129562978,0.5703084596059829,0.5703263590893499
5,raw,0.888805104390511,0.7139911634756996,0.592032967032967,0.5878363655677386,0.6057015231536457,0.5823920414024122,0.6251481963952896,0.5897248362270914,0.6057351283485426
6,raw,0.8097581994726661,0.7549337260677467,0.614010989010989,0.5271380267982245,0.5685805328352334,0.7288672174020046,0.6183791413385025,0.5662308597939686,0.5940835674251023
7,raw,0.7390725892492528,0.792341678939617,0.6057692307692307,0.5134661095163778,0.5585269377872182,0.67503732199567,0.6004591227089406,0.5550025140801617,0.5779578786424183
8,raw,0.6479523305864854,0.8338733431516937,0.6236263736263736,0.6113824612322462,0.6281573717983396,0.5981015738328167,0.6326746188874204,0.6168922218096036,0.6127378997596599
9,raw,0.5533218180483677,0.8807069219440353,0.5906593406593407,0.5761022512317849,0.5933266154028553,0.6696541192484021,0.6230892682720871,0.582652941474185,0.6007674642971403
10,raw,0.48537913766718405,0.9089837997054492,0.592032967032967,0.5847498464375634,0.6011924439043148,0.5983734779602945,0.6193911929855699,0.5880272507054951,0.5994454103868934
11,raw,0.4223241939899321,0.9396170839469808,0.5892857142857143,0.5615046616649648,0.5886808178705585,0.6131660478953324,0.6179738621998021,0.5740061353443021,0.5975349939366243
12,raw,0.3925897068847437,0.9508100147275405,0.6057692307692307,0.5521683815841327,0.5850361193542204,0.6608852705064967,0.6251356204928618,0.5762887637174268,0.6031061114759785
13,raw,0.37160856808057063,0.957879234167894,0.5961538461538461,0.5852813784145328,0.6024935024238638,0.6043437249235077,0.6337522750677574,0.5901739888972237,0.6136074842369739
14,raw,0.3420193056997038,0.9684830633284242,0.5769230769230769,0.5767594456522122,0.5888031001283272,0.6360693400616023,0.6040025077536492,0.5768330797241012,0.5828001964182624
15,raw,0.32876627745438747,0.974079528718704,0.5741758241758241,0.5582003431612984,0.5780423783099575,0.628703168467657,0.6015421810252847,0.5653893096178351,0.5805854087430294
16,raw,0.3211761611989742,0.972901325478645,0.6085164835164835,0.561281252331193,0.5905336430513314,0.6305592628614849,0.6254258076334603,0.5825371063645737,0.6044071655380775
