class_id,class_name,precision,recall,f1,support
0,Negative,0.6495327102803738,0.6747572815533981,0.6619047619047619,206
1,Neutral,0.45161290322580644,0.532608695652174,0.48877805486284287,184
2,Positive,0.7306397306397306,0.6420118343195266,0.6834645669291338,338
