epoch,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,joint,epoch_seconds
1,1.720380477816145,0.4630338733431517,0.5027472527472527,0.5018283995127959,0.5044400605745332,0.9355919398348216,0.5443149249997217,0.6067207327682322,3.7580132680013776
2,1.3818423915132183,0.5899852724594993,0.5370879120879121,0.5462610852134389,0.5464181908841463,0.6336631067674466,0.6199810167062314,0.6801342358310818,0.5780391840380616
3,1.2461822589981222,0.6332842415316642,0.6153846153846154,0.6086415899276832,0.6225782840540137,0.6445474489195436,0.6234119488917638,0.7430096621866394,0.5756129340152256
4,1.1419460060440492,0.6665684830633284,0.6043956043956044,0.5982729491923031,0.6144928627466768,0.6558990010314949,0.6480232567776882,0.738415463352342,0.553849805961363
5,1.0495431417616727,0.69720176730486,0.5906593406593407,0.5871232033365555,0.6028729799671415,0.6223331665611253,0.6087860319188716,0.7185752724309027,0.5529255500296131
6,0.9953842263355434,0.7013254786450662,0.6098901098901099,0.5887095754641,0.6124487014776242,0.6641125564212695,0.6159613892411264,0.7205628375603392,0.5535903479903936
7,0.9248072872652071,0.7357879234167894,0.6181318681318682,0.6089136578432567,0.6245929000539796,0.631144556934417,0.6106884051906015,0.7405476072430932,0.5540399739984423
8,0.8368050233225957,0.7625920471281296,0.6071428571428571,0.6059301633065074,0.6151273377596284,0.6465521376272331,0.6067784747643707,0.7360730440766923,0.5958577589481138
9,0.7623695806365147,0.7958762886597938,0.6263736263736264,0.6051423034573592,0.623385315608148,0.681257200748455,0.6040050867921178,0.7334350017971069,26.392254007048905
10,0.6934466885629101,0.8203240058910162,0.5975274725274725,0.5892520975073673,0.6032829769830883,0.6739687380907996,0.5481057139486174,0.703812901391495,0.5543263549916446
11,0.625733907256171,0.8456553755522828,0.6002747252747253,0.5956661571020243,0.6056595865699882,0.6776056174965381,0.5869038756528657,0.7198052720986895,0.5529998830170371
12,0.5425279828432564,0.8715758468335788,0.6208791208791209,0.6057592833069777,0.6224366351487433,0.6961422656914782,0.5698174644016627,0.7250089072176775,0.5538068130263127
13,0.4620428848489423,0.9013254786450663,0.5989010989010989,0.5932149429517851,0.6046174321629787,0.6817485698387488,0.5603583766102103,0.7105795847763794,0.5536382779828273
14,0.4145495331733026,0.9184094256259204,0.6071428571428571,0.5938932536056417,0.6073331804097697,0.6935764844311851,0.5738766005727161,0.7142431876011145,0.5537620189716108
15,0.35155804552764536,0.9354933726067747,0.5934065934065934,0.5710912335528532,0.5922729255580185,0.7059448232271729,0.5756484553418757,0.6914718532807498,0.5536701809614897
