epoch,model_kind,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,classification_score,regression_score
1,raw,1.5223552494933925,0.4353460972017673,0.5398351648351648,0.3963290684705987,0.4557732325318038,0.7873190769656743,0.477329798526359,0.46090681183465343,0.45108582929416985
2,raw,1.2632023820469762,0.6338733431516936,0.5631868131868132,0.42241426552021705,0.48167076464852293,0.6856191126275667,0.589416081602928,0.4857619119701853,0.5665621111820092
3,raw,1.1420079405774775,0.6645066273932253,0.6002747252747253,0.4882544619941567,0.5378113396533486,0.6126087517159349,0.6334368208768886,0.5386635804704125,0.6130165291530241
4,raw,1.0430169342192706,0.7051546391752578,0.5851648351648352,0.49738243281875355,0.5426710671404068,0.6261053782896392,0.608444878248029,0.5368845138744903,0.5875746989717077
5,raw,0.9917255329278151,0.7207658321060383,0.5892857142857143,0.5800570091518175,0.6002738302188115,0.5794339098134155,0.6522216481321291,0.584209926462071,0.6329071844716819
6,raw,0.8970685164426317,0.7587628865979381,0.614010989010989,0.5276038413970888,0.5700983697366481,0.7515444862955329,0.6286057089825438,0.566487057823344,0.6035542261060259
7,raw,0.79895351293863,0.8050073637702504,0.6126373626373627,0.583066639513452,0.6080494951474861,0.6023883324930096,0.6241444592018045,0.5963734649192118,0.6040648481187042
8,raw,0.6814221454474291,0.8556701030927835,0.6016483516483516,0.5875237210728138,0.6083998582887439,0.608477440601596,0.6237407822353651,0.5938798048318059,0.6034582008819785
9,raw,0.6161782220642416,0.8815905743740795,0.6098901098901099,0.5581643424346581,0.5891690095995338,0.6078554344188248,0.6349763621064866,0.5814409377896115,0.6147145142925258
10,raw,0.5158589773395802,0.9195876288659793,0.5975274725274725,0.5619065682935735,0.5926024666247028,0.6156593919371877,0.6352894702936599,0.5779359751988281,0.6147674905624203
11,raw,0.468848127311038,0.9354933726067747,0.603021978021978,0.5803004748606768,0.6016436007319371,0.6307293770944823,0.6174512457754419,0.5905251512832623,0.5964269332056258
12,raw,0.44312804275478984,0.9499263622974963,0.6153846153846154,0.5811911805654836,0.6076100070191539,0.601074089294723,0.6384296016318677,0.596578226234093,0.6183937986553769
13,raw,0.400013561399766,0.9602356406480118,0.5879120879120879,0.5710065889693782,0.5922656920041545,0.6120570434320073,0.6222291683569096,0.5786140634935976,0.601827266909176
14,raw,0.3857833980899496,0.9661266568483063,0.5989010989010989,0.5627552685022906,0.5908220741061208,0.6432062890519744,0.6118868992353905,0.5790208921817543,0.5904466896003248
15,raw,0.346860719969241,0.9714285714285714,0.6043956043956044,0.5658098965964582,0.5955411097268669,0.61255930975968,0.6243726408061679,0.583173465106074,0.603953997147512
16,raw,0.3321661334237926,0.9799705449189985,0.6043956043956044,0.5824952633885828,0.6050426139700077,0.6316705710119644,0.6255323936330854,0.5923504168417426,0.6044767079326866
17,raw,0.33089535822310046,0.9752577319587629,0.5947802197802198,0.5488020894031302,0.5804228670952705,0.6351087072667164,0.6288158493891982,0.5694922480728206,0.6076455591469744
18,raw,0.3090948955475494,0.9817378497790868,0.5947802197802198,0.5748084064101543,0.5970032142579781,0.6104191469220805,0.6249591925793974,0.5837957224266838,0.6046118876819947
19,raw,0.3044342019333228,0.9829160530191458,0.6222527472527473,0.5732313880868217,0.6044374689546318,0.6035765678088365,0.6254249759162909,0.5952909997114882,0.6053057569893296
20,raw,0.2887162059589408,0.9861561119293079,0.5975274725274725,0.5704669332120312,0.5955674840613432,0.6384921617071007,0.6095559192249275,0.5826441759039798,0.5882728471680241
