experiment,scene,accuracy,macro_f1,mae,pearson,final
R0_selected_clean,clean,0.6428571428571429,0.6168550613170211,0.6296836485767067,0.6159404072107706,NO
R0_selected_clean,missing,0.5796703296703297,0.5627493302177404,0.6716333567785293,0.5444697819689835,NO
R1_missing_aug,clean,0.6428571428571429,0.6168550613170211,0.6296836485767067,0.6159404072107706,NO
R1_missing_aug,missing,0.5961538461538461,0.5744020523240447,0.6594232647202571,0.5656303236166291,NO
R2_span_geometry,clean,0.6428571428571429,0.6168550613170211,0.6296836485767067,0.6159404072107706,NO
R2_span_geometry,missing,0.5947802197802198,0.5721309979930669,0.6527553809503513,0.5667363709691621,NO
R3_reconstruction,clean,0.6428571428571429,0.6168550613170211,0.6296836485767067,0.6159404072107706,YES
R3_reconstruction,missing,0.6195054945054945,0.591968946902344,0.6686107960713843,0.5631318402737171,YES
R4_reliability,clean,0.6291208791208791,0.6071537036816387,0.625132539356895,0.6154873305028902,NO
R4_reliability,missing,0.6167582417582418,0.5909103677067064,0.6638784852852101,0.5621068278890982,NO
R5_consistency,clean,0.6291208791208791,0.60751298765418,0.6252172746864124,0.6153161429234465,NO
R5_consistency,missing,0.6208791208791209,0.5964725575760417,0.6656814377526573,0.5697529234672325,NO
