epoch,train_loss,clean_accuracy,clean_f1_macro,clean_f1_weighted,clean_mae,clean_pearson,missing_accuracy,missing_f1_macro,missing_f1_weighted,missing_mae,missing_pearson,balanced_classification
0,,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5975274725274725,0.5832547759025742,0.6004507685505428,0.6656194651796186,0.5651668517928365,0.6091167436969271
1,0.03295753694231242,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5975274725274725,0.5832547759025742,0.6004507685505428,0.6656191996810447,0.5651669444964535,0.6091167436969271
2,0.03277912951498664,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5975274725274725,0.5832547759025742,0.6004507685505428,0.6656187353195152,0.5651671130256023,0.6091167436969271
3,0.03272500484219879,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5975274725274725,0.5832547759025742,0.6004507685505428,0.665618273439807,0.5651672705794804,0.6091167436969271
4,0.15162959594297018,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.6153846153846154,0.5890093407567828,0.6095593552041685,0.6709115390440674,0.5623372375631388,0.6147171061746917
5,0.1300968338556133,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5961538461538461,0.5766014516365147,0.5949573412406512,0.6646471049607499,0.5637783698381434,0.6069780135896948
6,0.11684297734408032,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.6195054945054945,0.591968946902344,0.613393299645906,0.6686107960713843,0.5631318402737171,0.6164581956669188
7,0.13008395723666244,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.6071428571428571,0.5832999139868799,0.6022596281584479,0.6576293377486534,0.5683623165582099,0.6112926182085727
8,0.20416784793698173,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5961538461538461,0.5723982284451171,0.5915036377402068,0.6667739366402512,0.5520123892956685,0.6058221272120605
9,0.1762379757850103,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.6071428571428571,0.5827628983507211,0.6029968307412413,0.6692999037664517,0.5560828159747292,0.6111449389086291
10,0.17808040759652993,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.6043956043956044,0.5811379534186507,0.6001424731010803,0.6805923853216982,0.549770108012215,0.6100799471841779
11,0.17378314759389896,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.6126373626373627,0.5831810661971254,0.6055038264352824,0.6588577455684292,0.5621105830113571,0.612496198802654
12,0.18372119636113096,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5879120879120879,0.5592502702576628,0.5806399189530107,0.6576527919513775,0.5609568457919785,0.600352043106115
13,0.3027069010889866,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.6195054945054945,0.5910280386096839,0.6129216494051432,0.6600560137503435,0.5694703052898401,0.6161994458864373
14,0.27380981084676415,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.6153846153846154,0.5888477101548039,0.6097048632299661,0.6586554355082705,0.5709421547814703,0.6146726577591475
