epoch,train_loss,accuracy,f1_macro,f1_weighted,mae,pearson,joint
1,1.752398842377282,0.532967032967033,0.46699458098616703,0.5098527204361832,0.7025021622585872,0.5001760789700304,0.5686218619867217
2,1.3821151611950475,0.5769230769230769,0.5754205571811596,0.5904478946408173,0.6775994329341651,0.5814507901624162,0.6981966069572915
3,1.2190096610588648,0.6085164835164835,0.5942584392829091,0.6094631436043694,0.6389555993949186,0.6301170371407177,0.7304891785882579
4,1.1125590157620784,0.5480769230769231,0.5547099747790466,0.5529237914473702,0.6624054713064362,0.626981121818257,0.6893750728567296
5,1.026534439392493,0.6057692307692307,0.602732807527328,0.6119108060888883,0.64699871025968,0.5822305069933986,0.7267238106003551
6,0.9332356970634819,0.5975274725274725,0.5791560058919272,0.6023992800139015,0.6462069404827032,0.5728482325971843,0.7008278326917998
7,0.8415422878215011,0.6126373626373627,0.5899269595446658,0.611136339786814,0.6486923129185536,0.6228958854096114,0.7240278537997835
8,0.7303973089361415,0.603021978021978,0.5950188438984516,0.6109128964310925,0.6654064213752473,0.5821951715612116,0.7183874227429129
9,0.6111810968515459,0.5686813186813187,0.5683047161520207,0.5784420938647492,0.6619428240861692,0.5951740940070692,0.6950334788509157
10,0.5122623027350421,0.5947802197802198,0.5656947233593661,0.5888441391793072,0.6858126772721145,0.5939911230980214,0.6913320815581343
11,0.41112854006424754,0.5892857142857143,0.565499134126585,0.5872679775394707,0.6759751783878988,0.5778582561301133,0.68743119221285
12,0.3273653402015077,0.6002747252747253,0.5758108405925119,0.597061557296367,0.6707149054695197,0.5958279826110922,0.7024106727296343
13,0.2641198734442393,0.5989010989010989,0.5743315636340107,0.5963852096937959,0.664896500033677,0.6020025605569767,0.7026689871054657
