epoch,variant,train_loss,temperature,joint_score,accuracy,f1_macro,f1_weighted,mae,pearson,gate_mean,gate_std
1,A0,1.883006037952744,1.0,0.5753567405144182,0.46016483516483514,0.4571858721650264,0.4683959773032776,0.7082958080649765,0.48572213494959293,,
2,A0,1.4321170298852652,1.0,0.6653948583813314,0.6263736263736264,0.5800890773842293,0.6109089597678541,0.8353319516479663,0.580294978286743,,
3,A0,1.2920635125347386,1.0,0.6753717637888385,0.5837912087912088,0.5879454671999599,0.5936777354799744,0.6109239664422873,0.6335139711453166,,
4,A0,1.2194983792082172,1.0,0.699803226730247,0.6304945054945055,0.6162913196727854,0.6362781073442573,0.6151050905265927,0.657863143979803,,
5,A0,1.127139478643364,1.0,0.6848031222120518,0.6195054945054945,0.5868192348559519,0.6126720922578706,0.6239298966401103,0.6458920897448039,,
6,A0,1.0503361013448127,0.990909090909091,0.6765933899127033,0.5892857142857143,0.5862728669180282,0.5995613833171437,0.6132290998683567,0.6379033033070628,,
7,A0,0.9853314322845959,0.9818181818181818,0.6716780204614167,0.5892857142857143,0.5703112125387911,0.5880698029127077,0.6202363780310127,0.6460758912236955,,
8,A0,0.9181554356468058,0.9727272727272728,0.6705054176261174,0.6153846153846154,0.5822152528530854,0.6077756304959543,0.786222538018502,0.6175604174584697,,
9,A0,0.8397671424339865,0.9636363636363636,0.661984404311535,0.5782967032967034,0.5656395408404907,0.5809754762710946,0.6361764111469121,0.6099616780042649,,
10,A0,0.7427042655855696,0.9545454545454546,0.6644942507281802,0.5728021978021978,0.5757574108451667,0.5823315502250278,0.6465133272017388,0.6168341907352749,,
11,A0,0.6435080115622449,0.9454545454545454,0.6590382283108496,0.6002747252747253,0.5553030940325822,0.5831804285865823,0.6831276068049112,0.5901587553680807,,
12,A0,0.5532608313538204,0.9363636363636364,0.671605204825941,0.5947802197802198,0.578347826959147,0.5988465308049757,0.6203060229353679,0.6120296927356238,,
13,A0,0.4700560169381516,0.9272727272727272,0.6543674251131655,0.5961538461538461,0.5529917526223127,0.5832615181783414,0.7195641437697654,0.5820804587630625,,
14,A0,0.4093373271627961,0.9181818181818182,0.6831317474552218,0.625,0.5914000822574659,0.6171207114532222,0.6343450509280396,0.6128717696920856,,
