epoch,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,joint,epoch_seconds
1,1.7546156711667498,0.43917525773195876,0.489010989010989,0.4766315222011424,0.49214556276039106,0.7863482722518761,0.48505374894921804,0.5716833503633845,1.3060230580158532
2,1.418174381568053,0.5888070692194404,0.5906593406593407,0.5666726636360115,0.5919167455933506,0.8087069515419029,0.5135457079916573,0.6681021922491958,1.1037618069676682
3,1.2501407856139066,0.6444771723122239,0.6304945054945055,0.617174439328351,0.6355106610469188,0.6524734615641237,0.6086196311906754,0.7475802317405491,0.9825141439796425
4,1.13801384584926,0.6627393225331369,0.6057692307692307,0.6016345290816963,0.6161822622161006,0.6460496908431785,0.6329129142658508,0.7383277679533864,0.9115039950120263
5,1.051616547820724,0.6974963181148748,0.6016483516483516,0.5933126028482364,0.6115749354596886,0.7127242044393475,0.5823382004287259,0.7151396794741062,1.0232735630124807
6,0.9864049514877462,0.7116347569955818,0.6304945054945055,0.6085796930422457,0.6319198500232194,0.6179980072941232,0.6320031559809959,0.7459805484610238,0.8241233740118332
7,0.9060451613965436,0.7466863033873343,0.5947802197802198,0.5815502232957787,0.5978250008994375,0.6286339455597284,0.6042393158674592,0.7116555874106525,0.7940447150031105
8,0.821612841615053,0.7746686303387335,0.5975274725274725,0.595086007004125,0.6042891479154835,0.6208292758962201,0.6298873855965929,0.7318635442067325,0.9587044809595682
9,0.7335079560213,0.7970544918998528,0.5879120879120879,0.5769134451100062,0.591432696833239,0.6825770790321537,0.5883770721750198,0.7012551438526893,0.7617037000018172
10,0.6533210901456459,0.8256259204712812,0.5769230769230769,0.561770059570335,0.5819792145494413,0.6743654435510736,0.5796005624668689,0.6841913520686831,1.031387061055284
11,0.5966676615666007,0.8536082474226804,0.5535714285714286,0.5562170191689506,0.5583722434795226,0.6781644862903804,0.5656440114669795,0.6750225391593495,0.9126398889929987
