class_id,class_name,precision,recall,f1,support
0,Negative,0.6306306306306306,0.6796116504854369,0.6542056074766355,206
1,Neutral,0.4608294930875576,0.5434782608695652,0.49875311720698257,184
2,Positive,0.7577854671280276,0.6479289940828402,0.6985645933014354,338
