epoch,train_loss,accuracy,f1_macro,f1_weighted,mae,pearson,joint
1,1.743404767882656,0.5480769230769231,0.4838076278984533,0.5172805336186022,0.7821724382972737,0.5377656856443419,0.5921766346996296
2,1.3990931480143551,0.5206043956043956,0.5250471697160463,0.5336216982846399,0.6426081499593348,0.5986180210307913,0.653281403308433
3,1.2486548121546355,0.6071428571428571,0.5993001394847144,0.6114726699972531,0.6296248782573557,0.6139258509735025,0.7317941062861781
4,1.1485179044271299,0.6373626373626373,0.6003702122107161,0.6281064056224194,0.6879212936555332,0.6448616335606419,0.7386549108123588
5,1.0961577268273617,0.5989010989010989,0.5924523158951448,0.607283247078616,0.6946120849354154,0.6553416351811143,0.7331339885259095
6,1.0126317107061824,0.5851648351648352,0.5839285714285714,0.5897836538461538,0.769742350042369,0.6127883256384639,0.7114675745034417
7,0.9484248457939972,0.5645604395604396,0.5683952070662027,0.5782631151997635,0.6095802921080287,0.6372729556518373,0.7073941029088945
8,0.8696976595081634,0.6085164835164835,0.5688642793510388,0.5977826225401079,0.6375755436344591,0.5792428056739668,0.6924224626483819
9,0.7841570149285133,0.6098901098901099,0.6012006465019626,0.6169382837588795,0.6101258392402568,0.6258706643882894,0.7373307846243596
10,0.6782423590830234,0.6195054945054945,0.6065887795681274,0.6247468887768428,0.6394994186651944,0.6230314660851112,0.7410299988005653
11,0.5918698529822166,0.5947802197802198,0.5886758136311442,0.5998060817766425,0.6732692566734181,0.6022366329690827,0.7167926633176342
12,0.497422489272037,0.5934065934065934,0.5740671169513042,0.5943577695387543,0.6546298354209444,0.5955859790804596,0.7011426172073876
13,0.41728125302724434,0.5879120879120879,0.5786489862316611,0.5971775864986504,0.6332570023049222,0.6081094395492994,0.7095677793754885
14,0.3376087260917878,0.5837912087912088,0.5583939529794014,0.5817792942158424,0.6674369895786935,0.5996807663178235,0.6860662449062342
15,0.2736427621662337,0.592032967032967,0.5728934087056975,0.5921817430644803,0.6379796149180997,0.6008489113881166,0.70183964938879
16,0.2139018811985081,0.5865384615384616,0.5718123050408022,0.5907185131121659,0.6466684345097427,0.5938688448720084,0.6987239017751462
17,0.1664005402178272,0.5714285714285714,0.550224228184661,0.5712603023863939,0.6495705760278545,0.5617294028331409,0.6690042263586844
18,0.13880518028084102,0.5947802197802198,0.5690146697171331,0.5916675717281794,0.6532526391290978,0.6075231910363563,0.6991203795052523
