length,accuracy,macro_f1,mae,pearson
short,0.5618131868131868,0.5491612226947283,0.6656989198338604,0.5434345081932789
medium,0.4725274725274725,0.46969658955960325,0.7023623189864908,0.4469560240290409
long,0.3434065934065934,0.30491872561102734,0.7484615494610337,0.3609495738848082
