experiment,selected_epoch,clean_accuracy,clean_macro_f1,clean_weighted_f1,clean_neutral_f1,clean_mae,clean_pearson,missing_accuracy,missing_macro_f1,missing_weighted_f1,missing_mae,missing_pearson,robust_drop_f1,robust_drop_pearson,balanced_classification,test_evaluated
R0_selected_clean,0,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.48823529411764705,0.6296836485767067,0.6159404072107706,0.5796703296703297,0.5627493302177404,0.583220157525733,0.6716333567785293,0.5444697819689835,0.05410573109928063,0.07147062524178704,0.5994598889907408,False
R1_missing_aug,5,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.48823529411764705,0.6296836485767067,0.6159404072107706,0.5961538461538461,0.5744020523240447,0.5969114035154302,0.6594232647202571,0.5656303236166291,0.04245300899297633,0.050310083594141464,0.6063731787787656,False
R2_span_geometry,4,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.48823529411764705,0.6296836485767067,0.6159404072107706,0.5947802197802198,0.5721309979930669,0.5932986280276921,0.6527553809503513,0.5667363709691621,0.04472406332395418,0.04920403624160852,0.6054395729036808,False
R3_reconstruction,6,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.48823529411764705,0.6296836485767067,0.6159404072107706,0.6195054945054945,0.591968946902344,0.613393299645906,0.6686107960713843,0.5631318402737171,0.02488611441467703,0.05280856693705349,0.6164581956669188,False
R4_reliability,6,0.6291208791208791,0.6071537036816387,0.6273034004651958,0.4887640449438202,0.625132539356895,0.6154873305028902,0.6167582417582418,0.5909103677067064,0.6126908627676854,0.6638784852852101,0.5621068278890982,0.016243335974932327,0.053380502613792014,0.6097904218295971,False
R5_consistency,6,0.6291208791208791,0.60751298765418,0.6274908798770151,0.48739495798319327,0.6252172746864124,0.6153161429234465,0.6208791208791209,0.5964725575760417,0.6173916274397272,0.6656814377526573,0.5697529234672325,0.011040430078138375,0.045563219456214,0.612346024938311,False
