variant,accuracy,f1_macro,mae,pearson,suff_cls,suff_reg,f1_drop_after_evidence_removal,mae_increase_after_evidence_removal,selected_ratio
A0,0.6304945054945055,0.6162913196727854,0.6151050905265927,0.657863143979803,,,,,
A1,0.6332417582417582,0.6193758628484983,0.614877174565873,0.6576400459140526,0.18405218422412872,0.48145608398404516,0.05618332708551865,0.002959638011416632,0.24000000000000005
A2,0.6332417582417582,0.6172284558367247,0.6120280672106534,0.6590335222932854,0.2180972695350647,0.5656738591298542,0.02831740647448966,-0.004511752376456957,0.24000000000000005
A3,0.603021978021978,0.5937876714404768,0.6068682849070103,0.6503222317131552,0.22459396719932556,0.5362441447953012,0.05758986422360979,0.020647320907580924,0.24000000000000005
A4,0.6057692307692307,0.5897668425376275,0.6831352449702496,0.6416700518319388,0.242521733045578,0.658862817922964,0.04625105308241617,-0.027892858815983246,0.24000000000000005
A5,0.6098901098901099,0.5886229359523626,0.6126286838591293,0.6480803866680813,0.2569858133792877,0.6006251806649123,0.07157759109487816,-0.019624713961812867,0.24000000000000005
