split,true_class,count,mean_importance_text,mean_importance_audio,mean_importance_vision
valid,0,206,0.705670640668244,0.034184457945159265,0.26014490021297765
valid,1,184,0.5176147220190614,0.04962008343389475,0.4327651915879434
valid,2,338,0.61983540496574,0.03660510088948766,0.34355949518441625
test,0,207,0.7595164503740228,0.026727016991563084,0.21375653139542752
test,1,158,0.572393894808579,0.049392504000865346,0.37821360160832446
test,2,362,0.6556963310191068,0.033878404643976394,0.31042526783138635
