epoch,variant,train_loss,temperature,joint_score,accuracy,f1_macro,f1_weighted,mae,pearson,gate_mean,gate_std
1,A5,2.463391182578613,1.0,0.5865559238473322,0.4766483516483517,0.47034354979710596,0.48469018748895054,0.7046581570962239,0.5040520108885476,0.22250210318468758,0.0254248349660726
2,A5,1.879149204102632,1.0,0.6675978113568641,0.614010989010989,0.5815199574837068,0.6067550926877939,0.7149371875432105,0.5704795068958405,0.23086791548318478,0.01963022017443819
3,A5,1.697385525034967,1.0,0.6475136159625922,0.5370879120879121,0.5444609129895234,0.5457867665981418,0.6232010294474754,0.6307229589332376,0.23431033973687843,0.01336485725167778
4,A5,1.638802780169193,1.0,0.683869169196408,0.6098901098901099,0.5886229359523626,0.6131867856290468,0.6126286838591293,0.6480803866680813,0.23485738761927727,0.012520292789841061
5,A5,1.511410230788115,1.0,0.6774488489568118,0.6071428571428571,0.5826918543799348,0.606237059057435,0.6192092145729176,0.6214515709341292,0.23383047971301354,0.013701031428013573
6,A5,1.4380179053155062,0.990909090909091,0.6718808623748426,0.5837912087912088,0.5794567380473653,0.593959346020889,0.6494858885298427,0.6447799702956376,0.23723291520670656,0.022997760541841442
7,A5,1.354136668076025,0.9818181818181818,0.6730469632806274,0.6043956043956044,0.5732763068929931,0.5951771115747708,0.6897545581674561,0.6463126614204121,0.23939845614367244,0.02935560328880914
8,A5,1.254054637712853,0.9727272727272728,0.6669769709263692,0.6112637362637363,0.5802345292000464,0.6045208048656325,0.8228761147567618,0.6177820590260559,0.23873413481848527,0.03876251812584114
9,A5,1.1729502187711056,0.9636363636363636,0.6760284981208264,0.5961538461538461,0.5856394468087458,0.6011381565080652,0.6129584810744516,0.6213132340242123,0.23908253362951562,0.05007364548509853
10,A5,1.0047810361764142,0.9545454545454546,0.6615522492496893,0.5769230769230769,0.5752620312571515,0.5875625333188944,0.6800677608743382,0.5998652569810716,0.24177244463735925,0.06261901259136064
11,A5,0.8962271943270603,0.9454545454545454,0.6612419135959348,0.5892857142857143,0.5620610488353504,0.5845095148006307,0.6666695886773856,0.6042607789280231,0.24147951258745576,0.08239029880720766
12,A5,0.7796540109910698,0.9363636363636364,0.6522883855364245,0.5769230769230769,0.5496018657326545,0.5767887224948297,0.6861129983156858,0.6000209057200846,0.24440631927410653,0.07754479252490624
13,A5,0.6964659242429466,0.9272727272727272,0.6518759994608415,0.5961538461538461,0.5381624663567409,0.5713481032058227,0.66141310193148,0.580410638352758,0.24047195899170215,0.09109180007724847
14,A5,0.6196372684474304,0.9181818181818182,0.6649723417327297,0.5934065934065934,0.5646667650238516,0.589696575595406,0.6304651363976658,0.6040846595409325,0.24094433320202224,0.0796149537686623
