epoch,train_loss,accuracy,f1_macro,f1_weighted,mae,pearson,joint
1,0.756321911499879,0.592032967032967,0.5933263940004431,0.5992075409451486,0.6290571796037782,0.6357145699232499,0.5927443518650789
2,0.7650363971696836,0.5769230769230769,0.5799381353219744,0.5883095025134387,0.6142704980467077,0.6117581814986464,0.5785813590424704
3,0.7206041085942884,0.5810439560439561,0.579569347180151,0.5898672785698204,0.636648779252837,0.607846278315885,0.5802329211688633
4,0.6609825040692481,0.6195054945054945,0.5950112041299643,0.6175067048647874,0.63665731513606,0.6227180718894495,0.606033634798953
5,0.5643643179786539,0.5769230769230769,0.5671799160787172,0.5858461545531306,0.6706033358558281,0.6024081046084376,0.571564338458679
6,0.47631586962771194,0.5975274725274725,0.5803933068828705,0.6005607485493634,0.6502809226263447,0.6302912803508103,0.5881036814229414
7,0.43185560725559696,0.5728021978021978,0.5591022952703503,0.5768311476221893,0.6346238252459283,0.578007652558783,0.5652672514096817
8,0.3517907538982195,0.6057692307692307,0.5822920045211067,0.6035430933507006,0.6319621582413194,0.6140262049971897,0.5928567563327626
9,0.30921199012582545,0.6112637362637363,0.5820066768361505,0.6071251849628321,0.651222068655233,0.5893738597207719,0.5951723535785641
10,0.2581860362508587,0.5810439560439561,0.5739380730003386,0.5876766536525547,0.6444886053851895,0.6007171329772588,0.5771357203699665
11,0.22422409684301536,0.6043956043956044,0.5887609591856805,0.60512759831835,0.663109428468058,0.5857334346025459,0.5957965495301463
12,0.19054689101665934,0.6208791208791209,0.5933640542986853,0.6153827549484752,0.6414470098483195,0.6169265797277699,0.6057458342598814
