epoch,variant,train_loss,temperature,joint_score,accuracy,f1_macro,f1_weighted,mae,pearson,gate_mean,gate_std
1,A1,1.7684257108474446,1.0,0.5991216570736727,0.5151098901098901,0.4852689268373494,0.5112931023950253,0.7376527373594549,0.4990615761688055,0.4879750302903381,0.061141718597985124
2,A1,1.461592197418213,1.0,0.6691433507398883,0.6085164835164835,0.5808934519408256,0.6042728387913046,0.6512463326419763,0.5701107065086183,0.4891727458153452,0.06769793866161153
3,A1,1.3256835592127292,1.0,0.6467047108807321,0.5535714285714286,0.5454659845925673,0.5491074014380787,0.6485125739098614,0.5985951026077567,0.4999674328452065,0.08025708302815715
4,A1,1.2719873128650345,1.0,0.6802636691557769,0.6167582417582418,0.5904467146261342,0.6164630719617528,0.6237876611815479,0.604857133249175,0.5040236232319212,0.09021650313843879
5,A1,1.195699522985476,1.0,0.6870753431466519,0.6181318681318682,0.6055705931367287,0.6224202358440247,0.6259332790780188,0.6151146597578461,0.5047817284923606,0.10182753330997595
6,A1,1.1250015190828626,0.990909090909091,0.6390835578434803,0.521978021978022,0.5262920508380277,0.5359225752899862,0.6052791119110514,0.6372063212097413,0.4935183954975762,0.12489744885473386
7,A1,1.0995605036477063,0.9818181818181818,0.6572523975274592,0.570054945054945,0.5700080675761243,0.5816939550120629,0.6557050242687122,0.5841687106041212,0.49004845147154164,0.14968099153706663
8,A1,1.0545240033452756,0.9727272727272728,0.6547900354280978,0.592032967032967,0.5620516043026701,0.5899527216522279,0.7780745326274953,0.5917396703623694,0.47744438759221836,0.17357075755839346
9,A1,1.0307684295645385,0.9636363636363636,0.6537428943111037,0.570054945054945,0.5542287836782739,0.5758701693742134,0.6347945675619745,0.5919104971045626,0.45976734662414853,0.19330677045607633
10,A1,0.9671626837454109,0.9545454545454546,0.6682418450571742,0.592032967032967,0.5750346007023382,0.5955342042719185,0.648591180794628,0.6112084167427634,0.4474658994265276,0.2158595335310115
11,A1,0.9027122866327517,0.9454545454545454,0.649727034102257,0.5480769230769231,0.5552912643216978,0.5563747760783724,0.640743467086385,0.6031442733980102,0.42965303270379934,0.22698649633039705
12,A1,0.8271993267758985,0.9363636363636364,0.6660366850088998,0.5796703296703297,0.5783573494234394,0.5880619985728214,0.6293409353513577,0.6012886164854517,0.42408677508702736,0.2474257670810288
13,A1,0.7639449088372917,0.9272727272727272,0.6585391339316171,0.5714285714285714,0.5697769310675815,0.5783282888514285,0.6846080707337523,0.6039237499000663,0.41588832147020316,0.26110717716883913
14,A1,0.6840841845374241,0.9181818181818182,0.6725016943136383,0.5975274725274725,0.5869775191328231,0.6029701251723569,0.6370186116111434,0.5962290005267143,0.40843436257928634,0.2724304715397133
15,A1,0.6116072062019989,0.9090909090909091,0.6581185561632709,0.5892857142857143,0.566557836135787,0.5884815674872669,0.7101983677053435,0.5840944266366718,0.408210227432704,0.2768131871141677
