epoch,model_kind,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,classification_score,regression_score
1,raw,1.371988234832466,0.4270986745213549,0.5412087912087912,0.5038619589800692,0.5361726637317189,0.7128081089269451,0.5054326597141056,0.5206680334829942,0.4816723894165407
2,raw,1.1475242598594024,0.606480117820324,0.5879120879120879,0.5760979640721218,0.5987926430828051,0.63570951071493,0.5861313059380753,0.5814143198001065,0.5649409889142443
3,raw,1.0417321022199426,0.6385861561119293,0.5837912087912088,0.5832340693880003,0.5933855494318498,0.6333163721367953,0.5887879713334234,0.5834847821194442,0.5676774255955302
4,raw,0.9480425793924458,0.6801178203240059,0.5357142857142857,0.5441036184234777,0.549058839224366,0.6282781536256252,0.6037482182101438,0.5403284187043413,0.5828056130892896
5,raw,0.8804621421887,0.6977908689248895,0.5398351648351648,0.549362777510812,0.5488747912761645,0.5988713365272366,0.6429197382211154,0.5450753518067708,0.6229573603368741
6,raw,0.8174200795536013,0.7157584683357879,0.6291208791208791,0.5890129422873965,0.6165755035943338,0.6517357236215113,0.6160460814858975,0.6070615138624638,0.5943215573651804
7,raw,0.6906321552698672,0.777319587628866,0.6112637362637363,0.5892795590360992,0.6116923384426787,0.6300990442658396,0.6300149432088833,0.599172438788536,0.6090116417333553
8,raw,0.5960411141828164,0.8138438880706922,0.592032967032967,0.5876662442954127,0.600895924315509,0.6205858389065335,0.5926884216744164,0.5896312695273122,0.5720022270441986
9,raw,0.4944100225621365,0.8639175257731959,0.6208791208791209,0.5697640013139904,0.6017637197684979,0.7373909810557961,0.6099605217904568,0.5927658051182991,0.5853808224219302
10,raw,0.4360931659833321,0.8924889543446245,0.5989010989010989,0.5713243545680314,0.5975770462722063,0.6635207166015119,0.5699591324861212,0.5837338895179118,0.5478417752660708
11,raw,0.36256877619317773,0.9160530191458026,0.5741758241758241,0.5638616998633063,0.5792572605202282,0.6544790263249345,0.6130341236827487,0.5685030558039393,0.5912181561385842
12,raw,0.3256829893466124,0.9328424153166421,0.6181318681318682,0.5945891640659083,0.6147960877715861,0.6661325327947781,0.6073552633205348,0.6051833808955902,0.5851508455607088
13,raw,0.27302555915884485,0.946980854197349,0.6167582417582418,0.5800099387496884,0.6079779904290094,0.6834681397540607,0.6180614143932464,0.5965466751035375,0.595279143068111
14,raw,0.2384224695818765,0.9569955817378498,0.6071428571428571,0.5858004124004226,0.6073434858454906,0.6759991346719959,0.5983465403655387,0.5954045125345182,0.5758132358764722
