position,accuracy,macro_f1,mae,pearson
early,0.5439560439560439,0.5037366142629301,0.7263772883794685,0.5171448298632718
middle,0.5934065934065934,0.5622206848841231,0.6956410663577237,0.5325035867639175
late,0.5343406593406593,0.4912738547696475,0.728714191720688,0.45671547426015124
