length,accuracy,macro_f1,mae,pearson
short,0.5865384615384616,0.5554979414595849,0.6739400273900873,0.5571896413787275
medium,0.5206043956043956,0.5073837656080467,0.7482116792925408,0.43875451375102476
long,0.39285714285714285,0.38934200252465884,0.7619434159919415,0.35841015764214174
