epoch,train_loss,clean_accuracy,clean_f1_macro,clean_f1_weighted,clean_mae,clean_pearson,missing_accuracy,missing_f1_macro,missing_f1_weighted,missing_mae,missing_pearson,balanced_classification
0,,0.6401098901098901,0.6162628784911394,0.6365176912051912,0.6289139204542792,0.6166151894441174,0.6002747252747253,0.5861455098764744,0.6031132198020829,0.6648848822948351,0.5649582677672482,0.6097488452626323
1,0.032459189562223184,0.6387362637362637,0.6154345212423441,0.635606028352185,0.627955681853384,0.6164466081880472,0.5989010989010989,0.5865064305292008,0.6025766939721108,0.6644144411532049,0.5644480322451483,0.6090021683305815
2,0.031708644654934115,0.6318681318681318,0.6092537348598017,0.6296716637061303,0.6264470604006559,0.6163129351950992,0.5975274725274725,0.5858662403135265,0.6015481660835454,0.6638214450086797,0.5636839056252277,0.6052720041616763
3,0.031258719927355856,0.6304945054945055,0.608298339953527,0.6286165842739426,0.6253833906139135,0.6161430542225739,0.5906593406593407,0.5795068203659717,0.5953141590162317,0.6632470002701406,0.5630702116248555,0.6014060344724776
4,0.1900764617351859,0.6277472527472527,0.6060677093946362,0.6260803801148057,0.6251085396810655,0.6158043952814749,0.6002747252747253,0.5774892145831133,0.5976765951863843,0.6721105877205136,0.5655760736258366,0.6017830991488262
5,0.15821896384999226,0.6291208791208791,0.6071537036816387,0.6273034004651958,0.6256857590027382,0.6153527867309638,0.614010989010989,0.586290783751806,0.6089264586852273,0.6646836464194796,0.5664493189149185,0.6079019043738676
6,0.13063700934391068,0.6291208791208791,0.60751298765418,0.6274908798770151,0.6252172746864124,0.6153161429234465,0.6208791208791209,0.5964725575760417,0.6173916274397272,0.6656814377526573,0.5697529234672325,0.612346024938311
7,0.15034543348589974,0.6277472527472527,0.6064272847027544,0.6262666473570879,0.6248947800918109,0.6152500075704974,0.5961538461538461,0.5651441698239728,0.5879837917575427,0.6613890960638905,0.5704856754209995,0.5975598972475973
8,0.23990800441570684,0.6263736263736264,0.6053422677110886,0.6250417658432789,0.624395116665375,0.6151486862441438,0.6002747252747253,0.5769501939192213,0.5964865726874153,0.6661429927818052,0.5611457259956675,0.6011263060692144
9,0.20721502628334812,0.6277472527472527,0.6064272847027544,0.6262666473570879,0.6247881248708147,0.6149788242227177,0.6016483516483516,0.5733068438826409,0.5961902965980947,0.6684356816396038,0.559388232030773,0.6010408963499947
10,0.21253144892343612,0.6277472527472527,0.6064272847027544,0.6262666473570879,0.6253107426202584,0.6143805303223119,0.6098901098901099,0.5810894142821196,0.6030081002897999,0.6827783953279493,0.5562512815656944,0.605035498814247
11,0.19693235264207837,0.6277472527472527,0.6064272847027544,0.6262666473570879,0.6254319588926871,0.614246193636245,0.6057692307692307,0.5757056565481534,0.5992103817504479,0.6618421086469015,0.5638335503543928,0.6026277676352085
12,0.21054409508169258,0.6277472527472527,0.6064272847027544,0.6262666473570879,0.6254282695248309,0.6141290591712124,0.6002747252747253,0.5738759425821985,0.5960146283533047,0.652103328321303,0.5685149092945032,0.6008883325583072
13,0.350212333802606,0.6277472527472527,0.6064272847027544,0.6262666473570879,0.6260352256470539,0.6137700970656768,0.6057692307692307,0.5808913705141183,0.6013891840414162,0.6605240428200757,0.5682270061747395,0.6040538389758489
14,0.3142287581984146,0.6277472527472527,0.6064272847027544,0.6262666473570879,0.6258174521145909,0.6138362256401493,0.6016483516483516,0.5768452109264605,0.5981583007120346,0.6586148387312398,0.5720260546484232,0.6020139472870452
