epoch,train_loss,clean_accuracy,clean_f1_macro,clean_f1_weighted,clean_mae,clean_pearson,missing_accuracy,missing_f1_macro,missing_f1_weighted,missing_mae,missing_pearson,balanced_classification
0,,0.6401098901098901,0.6162628784911394,0.6365176912051912,0.6289139204542792,0.6166151894441174,0.6002747252747253,0.5861455098764744,0.6031132198020829,0.6648848822948351,0.5649582677672482,0.6097488452626323
1,0.032459189562223184,0.6387362637362637,0.6154345212423441,0.635606028352185,0.627955681853384,0.6164466081880472,0.5989010989010989,0.5865064305292008,0.6025766939721108,0.6644144411532049,0.5644480322451483,0.6090021683305815
2,0.031708644654934115,0.6318681318681318,0.6092537348598017,0.6296716637061303,0.6264470604006559,0.6163129351950992,0.5975274725274725,0.5858662403135265,0.6015481660835454,0.6638214450086797,0.5636839056252277,0.6052720041616763
3,0.031258719927355856,0.6304945054945055,0.608298339953527,0.6286165842739426,0.6253833906139135,0.6161430542225739,0.5906593406593407,0.5795068203659717,0.5953141590162317,0.6632470002701406,0.5630702116248555,0.6014060344724776
4,0.15052680226104082,0.6291208791208791,0.6065419430291109,0.6270706940719484,0.625060193579974,0.616066164312645,0.603021978021978,0.5803285771897144,0.5996427036178923,0.6704237321342129,0.5636166332823209,0.6036215359173198
5,0.13056115720403585,0.6263736263736264,0.6043148609307295,0.6245377163853936,0.6251943879580102,0.6156883616063377,0.6126373626373627,0.5866923601143836,0.6086827510147416,0.6654967199723175,0.5590094826363172,0.6063044583148787
6,0.11148519150283136,0.6291208791208791,0.6071537036816387,0.6273034004651958,0.625132539356895,0.6154873305028902,0.6167582417582418,0.5909103677067064,0.6126908627676854,0.6638784852852101,0.5621068278890982,0.6097904218295971
7,0.12295109335717881,0.6291208791208791,0.60751298765418,0.6274908798770151,0.6246939527811444,0.6154853178060216,0.6043956043956044,0.5764248244700984,0.5975078380525025,0.6582171578448941,0.5706338059052676,0.6031241071253854
8,0.20203558163183954,0.6263736263736264,0.6053422677110886,0.6250417658432789,0.6242670965443972,0.6152885138260317,0.5989010989010989,0.579246241351163,0.5976168308373061,0.6590478795853694,0.5573613517100681,0.6014486531789324
9,0.1764487392430854,0.6277472527472527,0.6064272847027544,0.6262666473570879,0.624611586381254,0.6150964381836977,0.5961538461538461,0.5709724357717599,0.5922265979145164,0.662690300207232,0.560698463618795,0.5991626703832388
10,0.18113998397135397,0.6277472527472527,0.6064272847027544,0.6262666473570879,0.6248197982376851,0.6146744794259006,0.6085164835164835,0.5798365462599039,0.6018181332049944,0.6730201065274541,0.5570299757347018,0.6043818941740717
11,0.16728397324121613,0.6263736263736264,0.6053422677110886,0.6250417658432789,0.6248219485793155,0.6145019915514358,0.6002747252747253,0.5707546505813833,0.5939167576452012,0.6584779346022105,0.5661068658129017,0.5994225316513089
12,0.1782985841374442,0.6277472527472527,0.6070829954041632,0.6265759382547704,0.624843515349222,0.6143831633912755,0.5851648351648352,0.5592729057328536,0.5809667468956293,0.6520575754329112,0.5657309581967274,0.5936530925928994
13,0.30429760588796484,0.6291208791208791,0.6081710952229926,0.6278034311982346,0.6254292075320116,0.6140665715791995,0.6112637362637363,0.5848783177288688,0.6061293908054812,0.6571381862187671,0.5679984252071496,0.6071751270233003
14,0.271346186877976,0.6291208791208791,0.6081710952229926,0.6278034311982346,0.6252294001764372,0.6140947250280624,0.5975274725274725,0.5743073653437448,0.5949646668522586,0.6538108152223515,0.5702119408205744,0.601177455776732
