length,accuracy,macro_f1,mae,pearson
short,0.5810439560439561,0.5492759754152565,0.6702291670723582,0.5550884723529422
medium,0.5274725274725275,0.5085418629345384,0.7521971100771795,0.42572062513191555
long,0.3914835164835165,0.3864143119799229,0.7866802894389436,0.33589213801208545
