variant,accuracy,macro_f1,mae,pearson,evidence_budget,keep_only_accuracy,keep_only_macro_f1,keep_only_mae,keep_only_pearson,remove_accuracy,remove_macro_f1,remove_mae,remove_pearson,random_remove_accuracy,random_remove_macro_f1,random_remove_mae,random_remove_pearson,confidence_drop_top,confidence_drop_random,top_vs_random_f1_drop,router_lomo_agreement
B0,0.6304945054945055,0.6162913196727854,0.6151050905265927,0.657863143979803,,,,,,,,,,,,,,,,,
B1,0.6332417582417582,0.6193758628484983,0.614877174565873,0.6576400459140526,0.25,0.5398351648351648,0.4011770400413934,0.6721557806780726,0.6208598903824847,0.5975274725274725,0.5631925357629797,0.6178368149618848,0.6405088180544364,0.6160714285714286,0.5813813832095743,0.6116848864543679,0.6578727897830587,0.05619012789575608,0.0329055235137815,0.018188847446594658,
B2,0.6181318681318682,0.6055705931367287,0.6259332790780188,0.6151146597578461,0.25,0.4766483516483517,0.24794846769471013,0.7339977233588777,0.573467085068598,0.6181318681318682,0.5864578084973421,0.6579002570332115,0.5959719116272019,0.6201923076923077,0.5899828654001423,0.6489603397932325,0.6048551929711519,0.06021954076221356,0.051667778992227145,0.00352505690280025,
B3,0.6428571428571429,0.6212857249500029,0.6536065491848974,0.6173121334178063,0.25,0.47115384615384615,0.2283018867924528,0.7005416450103819,0.618114297059431,0.6167582417582418,0.5532674940497851,0.6481198886021458,0.5999102734491085,0.6225274725274726,0.5669720894762954,0.6442699462707393,0.6129908515123739,0.06102244707418012,0.04991854806686496,0.013704595426510258,
B4,0.6401098901098901,0.6179981847238601,0.6532508350088732,0.6166180543747523,0.25,0.4766483516483517,0.24116161616161616,0.6980129967635219,0.6262025780037186,0.6153846153846154,0.5510470893942382,0.6500558401416389,0.5936490768409209,0.6232142857142857,0.5695731580490129,0.6439011436998223,0.6117092324428025,0.06200255953021102,0.04976437629947623,0.018526068654774686,
B5,0.6401098901098901,0.6179981847238601,0.6532508350088732,0.6166180543747523,0.25,0.4766483516483517,0.24116161616161616,0.6980129967635219,0.6262025780037186,0.6153846153846154,0.5510470893942382,0.6500558401416389,0.5936490768409209,0.6232142857142857,0.5695731580490129,0.6439011436998223,0.6117092324428025,0.06200255953021102,0.04976437629947623,0.018526068654774686,0.8502747252747253
