epoch,model_kind,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,classification_score,regression_score
1,raw,1.355510661809188,0.4270986745213549,0.5041208791208791,0.3259195165888878,0.3943650747754352,0.7449510244609133,0.4926392274105521,0.40611012972828386,0.4678075265951883
2,raw,1.1191363601252677,0.6241531664212077,0.5563186813186813,0.4037405802964966,0.4651018918946371,0.7793068625659754,0.6042705208139623,0.47240072575647973,0.5782936253950964
3,raw,1.0411647437598464,0.6650957290132548,0.635989010989011,0.5753386693446051,0.610445908721669,0.6338190244071654,0.6346585681210593,0.6026313230845878,0.6135312673074871
4,raw,0.9405924581463102,0.7001472754050073,0.6181318681318682,0.577728882580962,0.6055294516033336,0.6616914166253671,0.5745511295681606,0.5959102260788698,0.5524947490139817
5,raw,0.8943961773775463,0.7128129602356407,0.614010989010989,0.5998645195420352,0.6179022565683829,0.6094827878274213,0.6401751004668055,0.6062304308030645,0.6198590075392247
6,raw,0.8317593116647891,0.7525773195876289,0.6126373626373627,0.5211393708773338,0.5644735271656116,0.6887565262116438,0.6254784151934744,0.5623134671693468,0.6025198643197529
7,raw,0.7587468342507184,0.7846833578792342,0.6057692307692307,0.5579894507139923,0.589412763116179,0.613809727320376,0.629968702149887,0.5794903517388497,0.6095083779058744
8,raw,0.672876160871649,0.8215022091310751,0.5975274725274725,0.5826148617485015,0.6012506843177639,0.5995926509862689,0.6279266483326899,0.5893255365990384,0.6079402266331475
9,raw,0.6064239814548323,0.8491899852724595,0.6016483516483516,0.5803542773064808,0.600933734346211,0.6597836390713353,0.596636361536499,0.5899366107603228,0.5746435735674545
10,raw,0.5318518567989431,0.8857142857142857,0.5879120879120879,0.5778973778176032,0.5954710559596372,0.6064116242237755,0.6121648414809556,0.5824039973601214,0.5919511206734964
11,raw,0.5141344968630042,0.8895434462444771,0.6043956043956044,0.5758004914257119,0.5988208921915368,0.622463241164831,0.6229404931794199,0.5886682922621636,0.6021917184739255
12,raw,0.4279842611177329,0.9357879234167894,0.5686813186813187,0.5657331228116317,0.5789927561086822,0.6431764107681095,0.6095223126516318,0.5670598109529909,0.5880830989593615
13,raw,0.3896144796804757,0.943740795287187,0.6057692307692307,0.591729803594132,0.610852037391054,0.5963702906429407,0.6381388688051595,0.5980475458229264,0.6182598591170615
