epoch,train_loss,accuracy,f1_macro,f1_weighted,mae,pearson,joint
1,1.7057516966627237,0.5123626373626373,0.5040815329444298,0.5177364950296091,0.6894356252823555,0.536559107402904,0.615240122285744
2,1.3753491197953203,0.5137362637362637,0.5206779028424382,0.5173731801818313,0.6244613370886277,0.6194353086594759,0.6547213521043529
3,1.228389003047361,0.6208791208791209,0.5864855502066677,0.6112870014561321,0.7230164272365912,0.6271006901990638,0.7191601751818806
4,1.1342723442355231,0.5975274725274725,0.5968658073810569,0.6068132434163154,0.6359006559599708,0.6456653490634049,0.737085456114909
5,1.0679860532003949,0.6263736263736264,0.6140101364898581,0.6312965282009712,0.595476490837857,0.6576023345817467,0.7585615037740329
6,0.9910107464857505,0.5521978021978022,0.5581703693597411,0.5506712971465854,0.6033188958873315,0.6351343820638657,0.6968433350127965
7,0.9070610405413757,0.5989010989010989,0.5838757670026444,0.6004551924838913,0.6494204450653263,0.6277769167321078,0.7191726480168272
8,0.8205774359300103,0.5741758241758241,0.568237520085539,0.5840267816650134,0.6745384863427787,0.6053922493664585,0.6971009662157276
9,0.7243900492157734,0.5892857142857143,0.5764778257371613,0.5954292353008254,0.6455663596147193,0.6172048197599844,0.7092601520233335
10,0.6515816087733972,0.5989010989010989,0.5752372772313344,0.5977431695767372,0.6902729333221662,0.5957766753173758,0.7011723482832728
11,0.526282517772885,0.5618131868131868,0.5583122255175806,0.5729567223470294,0.6809747758894585,0.5692087520936746,0.677915254344684
12,0.43864482788132947,0.5576923076923077,0.5559447437665989,0.5651763957523191,0.6521561195639571,0.5841060568602723,0.6802327206628683
13,0.35299153416089607,0.5741758241758241,0.5544432656598163,0.5748914568279759,0.6717554370466182,0.5979384631380572,0.6815360335427767
