epoch,variant,train_loss,temperature,joint_score,accuracy,f1_macro,f1_weighted,mae,pearson,gate_mean,gate_std
1,A2,1.8618781611184094,1.0,0.5503597399893764,0.5082417582417582,0.37510878441111,0.432851460093985,0.7689759235545752,0.4436801765022171,0.4848420955827494,0.05555036234564301
2,A2,1.4937966939444853,1.0,0.6465117660980249,0.5673076923076923,0.5601056145857818,0.5758825220010381,0.6927809314245799,0.5462953958984577,0.4743549095975719,0.06331295880920262
3,A2,1.3581960708181435,1.0,0.6789493448165446,0.6126373626373627,0.5910191199957855,0.6097129865149048,0.647102510933969,0.6103075016430195,0.46505880574439906,0.061725611602560425
4,A2,1.2540139204987855,1.0,0.6957415522272239,0.6401098901098901,0.6179981847238601,0.6382599198774669,0.6532508350088732,0.6166180543747523,0.445826647060722,0.06392985871150435
5,A2,1.1936851021285368,1.0,0.6432620810754344,0.5645604395604396,0.536276414903895,0.5652042702090024,0.6652171109573708,0.581488652134638,0.4203341642057612,0.07796342125120895
6,A2,1.1381863132815495,0.990909090909091,0.686320983545643,0.625,0.5994860471070148,0.6242520119089819,0.6779474015008647,0.6331858970658482,0.38180166992334985,0.09682963329947522
7,A2,1.1016773893454364,0.9818181818181818,0.6774637739240721,0.6085164835164835,0.5798080074729618,0.6015032127903606,0.6246090405710185,0.6290584196637247,0.3658895656144444,0.11677627976431337
8,A2,1.0161931826689532,0.9727272727272728,0.6639666317575394,0.5659340659340659,0.5691119625743216,0.5787480217276229,0.6060056800219732,0.6287536989928726,0.32474823552838805,0.12791913225870216
9,A2,0.9896528509175666,0.9636363636363636,0.6558310254662131,0.5892857142857143,0.5615182570924162,0.5881228086734511,0.7743483682671257,0.6055650026063606,0.31420652540707655,0.1422995630026049
10,A2,0.9391642914754208,0.9545454545454546,0.6251812090092873,0.5178571428571429,0.5075494599644078,0.5254071926748326,0.6330111130464702,0.5978013436782591,0.2636506023506494,0.1575874341703746
11,A2,0.8635161630461149,0.9454545454545454,0.6709635429024405,0.5879120879120879,0.5764255955150662,0.5941291187796655,0.6250869365038663,0.6279272745547098,0.27406633270207637,0.17986908581688305
12,A2,0.8020958646992656,0.9363636363636364,0.6593459467045257,0.5879120879120879,0.5550474482448932,0.5836872848463263,0.648622898182801,0.6042597019994502,0.23992081600313855,0.18410696420615968
13,A2,0.7134712199184382,0.9272727272727272,0.6275938164488506,0.5618131868131868,0.5088600492876502,0.5438929212366352,0.7081018907522045,0.5555567762598915,0.22197962972015056,0.18853886819245874
14,A2,0.6676403515249769,0.9181818181818182,0.6582457236660064,0.592032967032967,0.5566781263508,0.5820983572650903,0.6859851730977835,0.5975951707189916,0.23811112639069196,0.20389803980428406
