length,accuracy,macro_f1,mae,pearson
short,0.5865384615384616,0.5594417566404492,0.6543429369525217,0.5596889861144797
medium,0.510989010989011,0.5016862349870866,0.6959891566427189,0.46308294699057895
long,0.3942307692307692,0.38151915333567826,0.7825449387681067,0.3713556334751052
