epoch,train_loss,accuracy,f1_macro,f1_weighted,mae,pearson,joint
1,1.6375285767613443,0.5315934065934066,0.5214779262447675,0.5414239917481897,0.6864294770537046,0.5230890362017109,0.6293692027267384
2,1.3326035687621212,0.532967032967033,0.5422032142371126,0.5352106805985555,0.6873121508441937,0.5930447360201095,0.6675539932140002
3,1.2108982286542793,0.5947802197802198,0.5958987635458224,0.601301138170886,0.6049180883173204,0.6504042724433887,0.7383358953794256
4,1.0774166186650593,0.6222527472527473,0.6149528711321708,0.6282941389092558,0.631116049612871,0.6173191518789501,0.748245457448146
5,0.9678128857008168,0.6181318681318682,0.6035835698639048,0.623782264098203,0.6395973088398862,0.643581161244192,0.74315894988029
6,0.8655977278528079,0.6195054945054945,0.5985267728266663,0.62318222601025,0.6333018190364653,0.6234887779879847,0.7332889066891137
7,0.7276969172865012,0.6126373626373627,0.5910965603816611,0.6143480350122563,0.6375105279887345,0.6232570128931145,0.725660462671982
8,0.6182700338218133,0.603021978021978,0.5851120612649292,0.6057926688989824,0.6581203491621457,0.6000803786842354,0.7131948109639165
9,0.4857413202104434,0.6057692307692307,0.5747753465110078,0.5997061109775839,0.6489225420106207,0.6085789735956816,0.7052893385095742
10,0.3836203332937939,0.5645604395604396,0.5460632571161644,0.569571463355966,0.6529300538499988,0.5941857511105816,0.6728453597654765
11,0.300761793517101,0.5728021978021978,0.5562073283442682,0.5777781880137494,0.6842999917792111,0.5831835715819426,0.6791932215137801
12,0.23647610704139085,0.5851648351648352,0.5634436382292582,0.5869102588264857,0.6596263641991095,0.5975027253651205,0.6908317740972347
