modality,accuracy,macro_f1,mae,pearson
T,0.5975274725274725,0.5661244627318581,0.6959428628137435,0.5292066827768642
A,0.6291208791208791,0.607214168045589,0.6255577122691858,0.6149452803598295
V,0.6277472527472527,0.6035689344220398,0.615989964054309,0.611713742814353
TA,0.5961538461538461,0.5650123395308891,0.696206765313176,0.5291544712659668
TV,0.5975274725274725,0.5622319489371662,0.6926562499427966,0.5280890747117201
AV,0.6263736263736264,0.6017978801912319,0.6163958791012691,0.61118049994301
