position,accuracy,macro_f1,mae,pearson,source_file
early,0.5480769230769231,0.5041397582381189,0.7236577246925323,0.5098946273251078,E题/Q2/outputs/q2_best_ablation/R3_reconstruction/missing_position_analysis.csv
middle,0.603021978021978,0.5697614005712597,0.6961307871909582,0.5242418571838291,E题/Q2/outputs/q2_best_ablation/R3_reconstruction/missing_position_analysis.csv
late,0.5274725274725275,0.48508186307229373,0.7269099118623942,0.4515159179866085,E题/Q2/outputs/q2_best_ablation/R3_reconstruction/missing_position_analysis.csv
