epoch,variant,train_loss,temperature,joint_score,accuracy,f1_macro,f1_weighted,mae,pearson,gate_mean,gate_std
1,A1,1.8598035796780452,1.0,0.5503565411050798,0.5082417582417582,0.37510878441111,0.432851460093985,0.7692479842616204,0.44376340971066264,0.48928948092482466,0.05705194965183897
2,A1,1.4919399970045715,1.0,0.6457315340475909,0.5659340659340659,0.5589770101258242,0.5745231432326721,0.692942856609499,0.5460256548040874,0.49144122694683817,0.06886463118371873
3,A1,1.3562409866636045,1.0,0.6789617994698792,0.6126373626373627,0.5910191199957855,0.6097129865149048,0.6470485493172329,0.6103855542230021,0.4956882031712231,0.07193227360450166
4,A1,1.252224180742959,1.0,0.6976479786647677,0.6428571428571429,0.6212857249500029,0.6411154251148531,0.6536065491848974,0.6173121334178063,0.4989338086574123,0.07917285875903478
5,A1,1.191435606123131,1.0,0.6416470486962789,0.5618131868131868,0.5337149434084948,0.5627062136157128,0.6658646600649712,0.5814940384260612,0.4951765537975636,0.09383938937356137
6,A1,1.1405717919920093,0.990909090909091,0.6874491754480445,0.6291208791208791,0.601221845662949,0.6263118035750403,0.6895182004229135,0.6337377576555059,0.4807854039029597,0.11216007650434369
7,A1,1.1004994405764286,0.9818181818181818,0.6743842959115129,0.6071428571428571,0.5731067235849916,0.5974370610429561,0.6305834506152218,0.6283232072145021,0.47925460197522746,0.13123486861369854
8,A1,1.016566005822654,0.9727272727272728,0.6641616181969336,0.5659340659340659,0.5698601911256285,0.578228181965998,0.6081200870811609,0.6290643133880416,0.45675538833140505,0.14278616622420368
9,A1,0.9882332404083181,0.9636363636363636,0.657974713546029,0.5934065934065934,0.5648231338709044,0.5920380411920453,0.7772493554537625,0.6063794888980176,0.4512354119087914,0.1566146052414932
10,A1,0.9392412672533053,0.9545454545454546,0.61927540596457,0.5123626373626373,0.4999981726747243,0.5185660119604361,0.6417630744442678,0.5861883192797647,0.4116185824842373,0.17801665493360938
11,A1,0.8614010331786681,0.9454545454545454,0.6629914467297066,0.5728021978021978,0.5653463859534148,0.5816035565974127,0.627715224345633,0.6264433873019492,0.41630561058999693,0.19525450536236402
12,A1,0.7981321126501136,0.9363636363636364,0.6580133047956143,0.5865384615384616,0.5502151732951162,0.5798054084861468,0.6434571199983571,0.6078098780610085,0.39388664874952667,0.21191329263940342
13,A1,0.7107801465230568,0.9272727272727272,0.6326038986828971,0.5659340659340659,0.5152346103746074,0.5497495303924187,0.6957478858560905,0.5646053028885807,0.3695245798164254,0.2221967449099746
14,A1,0.6613904246102984,0.9181818181818182,0.6644212232108568,0.5892857142857143,0.5682550498089617,0.5870925446758399,0.6565312526491343,0.608296718709987,0.38679834391768886,0.230073363856631
