epoch,train_loss,selection_joint,clean_accuracy,clean_f1_macro,clean_f1_weighted,clean_mae,clean_pearson,missing30_accuracy,missing30_f1_macro,missing30_f1_weighted,missing30_mae,missing30_pearson
1,1.8496312136962034,0.4473178134855501,0.36675824175824173,0.2795443711766108,0.3196728516775987,0.7711351546516468,0.19136159322261123,0.35714285714285715,0.315190665638236,0.34499353810643546,0.8131594673849087,0.10698671676558985
2,1.7600754477153315,0.4106042110308741,0.31868131868131866,0.21145547036983459,0.2035912457762595,0.8603892229947743,0.23747001754302205,0.31868131868131866,0.22004330045201348,0.21461284975880224,0.8628234676103642,0.17647919666286346
3,1.7653807513067656,0.4564194504661499,0.4642857142857143,0.21138211382113822,0.29442508710801396,0.9120543820516125,0.2649054477052749,0.46565934065934067,0.24681590842226322,0.32429878153620434,0.922162291391722,0.1978172953848697
4,1.7144229122411425,0.5180117434780389,0.5164835164835165,0.3838040242820022,0.44293048943780033,0.8666436749016022,0.29935781783150356,0.5,0.3780978413141356,0.4340880032986035,0.8879707807698671,0.24060830445267814
5,1.6684590366399177,0.5449830174837732,0.49313186813186816,0.42443311980243276,0.46773928553998545,0.7512117036546972,0.3647828654389915,0.48626373626373626,0.41525539722118004,0.45959118656962633,0.7676766032975417,0.331692196442426
6,1.5906814414764119,0.5318948944262517,0.41483516483516486,0.4150698047939511,0.39859974295280776,0.7457612734108877,0.37138835889301364,0.41483516483516486,0.41638400724449803,0.40663846508745954,0.747525120751931,0.3586236537558621
7,1.4925338085566726,0.5643567323286055,0.49038461538461536,0.4601204908516254,0.4827366853684069,0.7650457648008712,0.3573251713430312,0.49862637362637363,0.4553899643193627,0.4848460024415175,0.7698142672119762,0.35043491816667177
8,1.453735006189792,0.5539610193206959,0.4835164835164835,0.47116516980431594,0.47935502651343564,0.8116264539805322,0.3670519326279112,0.47115384615384615,0.45377500438588375,0.4659707620238672,0.8242395042259807,0.3485062516677921
9,1.3934668001727524,0.5683629248598009,0.5123626373626373,0.4712921966875161,0.5013253288632795,0.7629703387650367,0.3635394005515082,0.5137362637362637,0.45727352382063263,0.49315529607467573,0.7735247983562679,0.34847492405061564
10,1.3330237002016228,0.5583236612788082,0.4766483516483517,0.4516419466277166,0.4808146326439997,0.800748412989868,0.36991161900592595,0.4848901098901099,0.4486541697221537,0.48007373607428483,0.7997548570493453,0.360479338047953
