epoch,model_kind,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,classification_score,regression_score
1,raw,1.366432805826808,0.4603829160530191,0.5659340659340659,0.5552867122169469,0.572752134061709,0.648574878988886,0.5610866127519895,0.5600780213896505,0.5394674501190266
2,raw,1.1098460189021564,0.6047128129602356,0.603021978021978,0.5861177533782113,0.6060026285074357,0.6918613925514804,0.608576850731922,0.5937246544679062,0.5855148043135393
3,raw,1.0131032989899436,0.6430044182621503,0.6071428571428571,0.5774918533687212,0.6026274311865978,0.6394767819105515,0.6038830637962243,0.5908348050670824,0.5825671710658725
4,raw,0.9294703592432441,0.6851251840942563,0.5453296703296703,0.5362397763300469,0.5385052253406567,0.9122872620521646,0.5965979182292885,0.5403302286298775,0.5661883428275497
5,raw,0.8893910222622362,0.6933726067746686,0.6085164835164835,0.5919256174848518,0.6110869637783246,0.6128020595649134,0.645100675174304,0.5993915071990861,0.6246739398554736
6,raw,0.7608098638953095,0.7393225331369662,0.5041208791208791,0.5145777592408868,0.5135211325435786,0.5999767684333275,0.617783579965158,0.5098721631868833,0.5977843543507138
7,raw,0.6656112427564012,0.7864506627393225,0.5824175824175825,0.5783880471380471,0.5896778568653569,0.6282460565538374,0.6019177549573451,0.580201338013838,0.5809762197388839
8,raw,0.5708196209790254,0.8232695139911634,0.5892857142857143,0.5736274140563031,0.5957195977271976,0.6050341544176483,0.6297241316719424,0.5806736491595381,0.6095563265246875
9,raw,0.4715235925212349,0.8633284241531665,0.6071428571428571,0.564212486658583,0.5938554483419286,0.6754667061751396,0.6254865678737991,0.5835311533765064,0.6029710110012945
10,raw,0.39354962974303953,0.8830633284241531,0.5947802197802198,0.563099462502702,0.5902244755776135,0.6245416816348622,0.6254528774450853,0.5773558032775851,0.6046348213905899
11,raw,0.3035826039353772,0.928718703976436,0.6153846153846154,0.5572571096715802,0.5896184050659793,0.6382218493499849,0.6006945367042865,0.583414487242446,0.5794204750592871
12,raw,0.24830343792645676,0.9460972017673048,0.5947802197802198,0.5475390690386616,0.5779282105198975,0.6574392405395834,0.6155395343562262,0.5687975868723627,0.5936248930049067
13,raw,0.20176362759805394,0.9599410898379971,0.5755494505494505,0.554797371940229,0.5754820462983729,0.7227910993021726,0.5885565876667047,0.5641358073143787,0.5644635510232989
