epoch,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,joint,epoch_seconds
1,1.7061001566094411,0.41649484536082476,0.43131868131868134,0.42004105165389366,0.43364458003378525,0.6851170972950058,0.5509793125967029,0.5349486432265692,1.941027803986799
2,1.3968673731799417,0.5899852724594993,0.570054945054945,0.5626492203832676,0.5729594468199117,0.6732506085254999,0.5894805975973472,0.6875776828317544,1.3559449270251207
3,1.2466512420367746,0.6459499263622975,0.6002747252747253,0.5919488709096689,0.60326578110155,0.641709029316329,0.6229453247581248,0.7262949011219891,1.3211170259746723
4,1.1640063487867793,0.6674521354933726,0.6112637362637363,0.6045197733849998,0.6197744547406686,0.6066318387333572,0.6373750539036325,0.743642475569796,1.4383255249704234
5,1.1163108572713647,0.6798232695139912,0.625,0.6052137692345138,0.627316600464174,0.6091256083298224,0.6311368314956236,0.7426937901640922,1.327401209040545
6,1.061584924588181,0.695139911634757,0.5906593406593407,0.5915685101096763,0.6017784200013632,0.6073955770639209,0.628280670367648,0.7283921584661243,1.6758094690158032
7,0.978212767363714,0.7228276877761414,0.6208791208791209,0.5976703120725863,0.6198950721300457,0.6285570619006099,0.6225270643870773,0.732350176106002,1.6837289489922114
8,0.8874418475258519,0.7569955817378498,0.5879120879120879,0.5848619213846113,0.5988720317228059,0.6087819823247168,0.6215631624404148,0.7199599792505579,1.3261035869945772
9,0.7828287525985722,0.789101620029455,0.592032967032967,0.5813632863635446,0.5987141736674533,0.6102078771719179,0.5966311632608478,0.7101808146063593,1.3268731909920461
10,0.6692848341985488,0.8306332842415317,0.5879120879120879,0.578920219487286,0.5966374817130387,0.6515492082341282,0.5556419736541492,0.6961124059596857,1.3265295220189728
11,0.594165746105109,0.8589101620029455,0.5741758241758241,0.5712353160112805,0.5836398013627756,0.6321856303990928,0.5676140755599768,0.6920659805546383,1.324165485042613
12,0.4873155142080056,0.8986745213549338,0.5879120879120879,0.5645329229540693,0.58838065841873,0.6485265839875645,0.5660018987937624,0.6844158448529245,1.3565414620097727
13,0.38694773383543524,0.9298969072164949,0.5398351648351648,0.5441397998021197,0.5515030243802673,0.6525967586644833,0.5492117369959172,0.6596895087622829,1.52594877401134
