length,accuracy,macro_f1,mae,pearson
short,0.5810439560439561,0.5615679202407459,0.6624993192082191,0.5536916062481814
medium,0.4945054945054945,0.48833809329525363,0.7093178036235398,0.45491798661784977
long,0.37225274725274726,0.35466174204966266,0.8051344763078525,0.3579228722013842
