epoch,train_loss,clean_accuracy,clean_f1_macro,clean_f1_weighted,clean_mae,clean_pearson,missing_accuracy,missing_f1_macro,missing_f1_weighted,missing_mae,missing_pearson,balanced_classification
0,,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5796703296703297,0.5627493302177404,0.583220157525733,0.6716333567785293,0.5444697819689835,0.5994598889907408
1,0.03295753694231242,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5796703296703297,0.5627493302177404,0.583220157525733,0.6716333567785293,0.5444697819689835,0.5994598889907408
2,0.03277912951498664,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5796703296703297,0.5627493302177404,0.583220157525733,0.6716333567785293,0.5444697819689835,0.5994598889907408
3,0.03272500484219879,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5796703296703297,0.5627493302177404,0.583220157525733,0.6716333567785293,0.5444697819689835,0.5994598889907408
4,0.10448142076173508,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5879120879120879,0.5682029589805825,0.5899291303182868,0.6608943701344338,0.5625415288054205,0.6028140325049179
5,0.09370321777819747,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5961538461538461,0.5744020523240447,0.5969114035154302,0.6594232647202571,0.5656303236166291,0.6063731787787656
6,0.08367608177165191,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5947802197802198,0.5714814451209226,0.5944701746336504,0.6598263561526048,0.5670239544689647,0.6052609458638412
7,0.08995050336168685,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5906593406593407,0.5664182843186696,0.5897840004078702,0.6640711560957953,0.5640356238253311,0.6029413788410237
8,0.1769413814438341,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.592032967032967,0.5676202027347066,0.5913977305471307,0.6593656679788082,0.5670724559591203,0.6035809723394998
9,0.1615809242332905,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5934065934065934,0.5692534416023164,0.592537615327226,0.6620725551079626,0.5653552673937957,0.6043391789621585
10,0.16432038592743062,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5879120879120879,0.5643269899355219,0.5877896731101535,0.660786483013698,0.5650250836970756,0.6017481410175263
11,0.14932083748193553,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5947802197802198,0.5707020600486845,0.5936964485884975,0.6626600225335806,0.5634902891449606,0.6050466149689756
12,0.15991883609933613,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5906593406593407,0.5664740677416362,0.5900776822529411,0.6626334579726733,0.5626847340298804,0.6029567192823395
13,0.28836960758699076,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5961538461538461,0.5716098409411322,0.5944838760436828,0.6633201469187523,0.5639881351292046,0.6056053206484647
14,0.2845071871795565,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6296836485767067,0.6159404072107706,0.5947802197802198,0.5705081706495185,0.5934502870440698,0.6633128750166449,0.5638656303478894,0.604993295384205
