position,accuracy,macro_f1,mae,pearson
early,0.5274725274725275,0.5087100217095141,0.6870431910345081,0.523059487153678
middle,0.5686813186813187,0.5533601014370245,0.6762184278508917,0.5227046607989526
late,0.5260989010989011,0.48766375261890915,0.6944547961718675,0.4658100690063446
