ratio,accuracy,macro_f1,mae,pearson
0.1,0.6195054945054945,0.6017263071217925,0.6292477765799869,0.6059862799432583
0.2,0.5865384615384616,0.5708649607097538,0.6539728369990461,0.5608414674461363
0.3,0.5302197802197802,0.5204801559005494,0.678866702556651,0.5130392576970982
0.4,0.5068681318681318,0.5003161135632693,0.6835371479598337,0.4706222985858992
0.5,0.4532967032967033,0.4483125975554631,0.7163293435050246,0.40168455997813335
