epoch,train_loss,accuracy,f1_macro,f1_weighted,mae,pearson,joint
1,1.695163907579413,0.5192307692307693,0.5124794759477993,0.524332120385963,0.6953044594671695,0.5584248217740236,0.6289088660757328
2,1.3631691571692346,0.6153846153846154,0.6023533950617284,0.6238511777574277,0.6305355851130386,0.6024984558737086,0.7319601561930542
3,1.236394913543558,0.5576923076923077,0.5650930556562216,0.5655941024499407,0.6243080448980985,0.6017248784066206,0.6947140070946068
4,1.1309512975350233,0.6098901098901099,0.599348485114006,0.614611883959592,0.6067284875265374,0.6144560564594069,0.7327382163113064
5,1.058053323360676,0.5989010989010989,0.5894207151552548,0.608532104890797,0.6034006109164713,0.6245382187159298,0.7254419161370217
6,0.9859680011518684,0.6387362637362637,0.6126343461145223,0.6338082440977344,0.6066223868879855,0.6421072024705385,0.7529404005025573
7,0.9053983733127934,0.5728021978021978,0.5752729476656286,0.5786287971040217,0.6953770764582089,0.6164694361889902,0.7062110708309359
8,0.8050126362014824,0.5796703296703297,0.5823455586809204,0.5909278696876495,0.6074994797218696,0.6234826970393763,0.7179662502833688
9,0.7162888438349039,0.5961538461538461,0.5923369367852077,0.6019904929445765,0.6678590071608267,0.5946740227598935,0.7187434755698202
10,0.6185171795842793,0.5851648351648352,0.5726524822695035,0.5924303639622788,0.6781931663082994,0.6094362868079252,0.7024051150945414
11,0.5223071969730754,0.5810439560439561,0.5588876570583888,0.5800990168368217,0.6906742953331079,0.6021166704847395,0.6863943481684701
12,0.4279056166958921,0.5879120879120879,0.5640443195921092,0.5872317750088766,0.626010791493732,0.6209875126335571,0.6984241713673741
13,0.3488890677690506,0.5645604395604396,0.5580490761131432,0.5735829352160668,0.6545711172129614,0.5636839530639501,0.6771510271386988
14,0.2788472874483592,0.603021978021978,0.5855879787446624,0.6054109441120306,0.6595479527021091,0.5981204683743467,0.7131331640815121
