modality,accuracy,macro_f1,mae,pearson
T,0.5947802197802198,0.5627715561695777,0.6967291152638838,0.5294975293490133
A,0.6318681318681318,0.6105904983849658,0.625063420090745,0.615498773612984
V,0.6236263736263736,0.5993822333444897,0.6194500320061407,0.6263171673180354
TA,0.5947802197802198,0.5636410925755674,0.6967267172766407,0.5296470167734862
TV,0.5961538461538461,0.5642695059498414,0.6955784821283497,0.5325262035399512
AV,0.6222527472527473,0.5977015332558008,0.6195722491965581,0.6259931623902416
