epoch,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,joint,epoch_seconds
1,1.7077809941600746,0.44977908689248897,0.5137362637362637,0.5093922834392662,0.5185208893627713,0.6950468021429944,0.5581610617667352,0.6257643221428503,2.228827072016429
2,1.3930262763735275,0.6014727540500736,0.5123626373626373,0.5186451180255974,0.5244361864609158,0.6610195991556943,0.5960488081091967,0.6456233334143734,1.8805598089820705
3,1.2758554130652702,0.6374079528718704,0.5645604395604396,0.5714863967484938,0.5726101077946367,0.6119934247063401,0.6204040558121751,0.7061876298779929,1.9376284319441766
4,1.1829291763999652,0.6565537555228277,0.6112637362637363,0.6035426377470156,0.6172670711839164,0.6032800242377722,0.6222576186310115,0.7389977082635094,1.4134433699655347
5,1.117398842959337,0.6916053019145803,0.6002747252747253,0.5943776595336555,0.6106958314023007,0.5999021498978286,0.6234939908730538,0.7302544189219913,1.3464482849813066
6,1.0551502237297559,0.7122238586156112,0.6263736263736264,0.599987228159758,0.6227395090808794,0.6007050735305721,0.6447579476810829,0.7411532126290097,1.3470290020341054
7,0.9898056175227457,0.7310751104565537,0.5714285714285714,0.5740427962618402,0.5763206383881342,0.6749285849976702,0.6246057329416763,0.7076966099973369,1.4494835989899002
8,0.903281033039093,0.7723122238586156,0.5879120879120879,0.5896918255480118,0.5994214287433349,0.6064924306625111,0.6314073362222956,0.7273272452481687,1.7470908329705708
9,0.8243101698132188,0.797938144329897,0.5934065934065934,0.5896489254382491,0.5995001655029225,0.6704219575059231,0.5958688946896923,0.7162687505271415,1.5611086989520118
10,0.738879487967827,0.8300441826215023,0.5947802197802198,0.5824603999916068,0.6028760057478229,0.678641547499465,0.610412573476467,0.7124421584440748,1.365123471012339
11,0.6626132073256891,0.862739322533137,0.5975274725274725,0.579199562377533,0.597278066154015,0.6925537058366219,0.6064172444229279,0.7077187499553775,1.4522024620091543
12,0.5837909342817298,0.8966126656848307,0.592032967032967,0.5719110250716979,0.592243605280139,0.6500153100043842,0.5961775537497602,0.6992882365089919,2.103751774993725
