epoch,train_loss,accuracy,f1_macro,f1_weighted,mae,pearson,joint
1,1.6529470670950805,0.5659340659340659,0.49557611178960653,0.5358874596656099,0.7341554928537405,0.5393293373511081,0.6059365963655922
2,1.3108843187211265,0.6085164835164835,0.5827208740856437,0.6101701639008075,0.7191620486897831,0.6136137367478098,0.7121522399829366
3,1.1487378030315811,0.6016483516483516,0.600377211817363,0.6091329080595752,0.6141636228156251,0.644029760232393,0.7409125311149404
4,1.0740559299786885,0.6222527472527473,0.5977538151387194,0.6206598288562585,0.593853118712694,0.6578141860595035,0.7424122576965054
5,0.9678618272705257,0.6222527472527473,0.5816195800472531,0.6128449767263784,0.6264837270765373,0.6154921820757776,0.7146098346636462
6,0.8852950639568025,0.6167582417582418,0.5972207491202636,0.6181851369403376,0.6214310590268604,0.6160075230332263,0.7305082612443414
7,0.8356555970341947,0.5989010989010989,0.5804844163218003,0.6034396390968674,0.6266460959990842,0.6282957144325504,0.7166701417299685
8,0.7605306395622486,0.6057692307692307,0.5885945151025513,0.6088380516998246,0.650845558866142,0.6180967220977975,0.721423843664796
9,0.6425102708485205,0.5508241758241759,0.5440885040885041,0.5625506239791954,0.6488970765633865,0.6121084601689717,0.6754857165786342
10,0.5485189846004119,0.5741758241758241,0.5562226653358389,0.5763898251384504,0.671314935114204,0.5827691099158472,0.6795377783109938
11,0.42705052751750455,0.5989010989010989,0.565005486499658,0.5905707218708639,0.6749877842060984,0.6184895678908013,0.6971282856654883
