epoch,model_kind,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,classification_score,regression_score
1,raw,1.2081461700845362,0.4683357879234168,0.5741758241758241,0.44140032680768854,0.4978280642755475,0.6984713155927218,0.5016106888721937,0.5011493006233496,0.47832831168576967
2,raw,0.9967465241896386,0.6382916053019145,0.5631868131868132,0.4284329354645012,0.4850895780267955,0.7464617195615614,0.6098840295865269,0.4890721804395416,0.5850019722678081
3,raw,0.9479399059587796,0.6686303387334315,0.6208791208791209,0.570217106760068,0.6014229445970083,0.6147354894988034,0.622576112753477,0.5930150131136418,0.6020849297701836
4,raw,0.8609778843150749,0.7045655375552283,0.6002747252747253,0.5286922202222362,0.5685537201447237,0.6565243864793696,0.5770825653599377,0.5609043474958563,0.5551984191439587
5,raw,0.7941334288671547,0.7337260677466863,0.6153846153846154,0.5985797254024497,0.6193460271860048,0.5915231023819805,0.6313455682201613,0.6061419258944243,0.6116281314740953
6,raw,0.7304509925034681,0.7746686303387335,0.6057692307692307,0.5399431344901882,0.5774604770081588,0.6437047617015835,0.608540451480742,0.5695648778157574,0.5870836260906892
7,raw,0.6490424689031665,0.8206185567010309,0.5961538461538461,0.545604756999886,0.5770817157262588,0.6606849213946319,0.5854697399896881,0.5683518471191681,0.5634469092765337
8,raw,0.5426807844059457,0.8706921944035346,0.5480769230769231,0.5520366424587148,0.556995262722449,0.638052603552741,0.5800301393995352,0.5502547687369086,0.5587617192811105
9,raw,0.5067003466594904,0.884241531664212,0.6208791208791209,0.5797741497785958,0.6072932063074018,0.7116882370763771,0.6107893126944508,0.5982713867738321,0.5870663714585715
10,raw,0.4393000219944475,0.9198821796759941,0.5563186813186813,0.5573169834888083,0.5706730676507721,0.6167150392495466,0.6047983452669848,0.5568677475122512,0.584241177292
11,raw,0.4045743748084786,0.9349042709867452,0.6181318681318682,0.576615315844523,0.6052685374776062,0.6653547729237599,0.6092055157735928,0.5952977643738283,0.5870270233428009
12,raw,0.35460754713710174,0.9528718703976435,0.5673076923076923,0.560116877287092,0.5703672938639227,0.6934157639543927,0.5704934947931325,0.5633527440463622,0.5473796359946528
13,raw,0.365980827334352,0.9452135493372607,0.5631868131868132,0.5552747753736457,0.5725547119064652,0.645409280594162,0.5702981929748864,0.5588351923895711,0.5487845502884143
