epoch,model_kind,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,classification_score,regression_score
1,raw,1.3306333354541233,0.45272459499263623,0.5645604395604396,0.42792789251113206,0.4854689591098317,0.7917341371930389,0.44982288795585074,0.48941253868332046,0.42343175004941613
2,raw,1.07443108923832,0.6362297496318114,0.5618131868131868,0.40906803731011215,0.4704922153460646,0.8174597218838664,0.6107014085522953,0.47780335458649575,0.5834527511561663
3,raw,1.0135150969116256,0.6609720176730486,0.6085164835164835,0.5136594898914334,0.5586280107696352,0.604430603316939,0.6275692622436049,0.5563451370227059,0.6074215754663735
4,raw,0.9036733377137838,0.698379970544919,0.603021978021978,0.5296083523136663,0.571306104639438,0.6478554617217294,0.5747824997612173,0.5626444838824065,0.5531873177038263
5,raw,0.8213381789745393,0.7192930780559647,0.592032967032967,0.574105146612379,0.5992596841174469,0.6106563629868765,0.6240739347826572,0.5821726658016436,0.6037187226830946
6,raw,0.7393243538789089,0.7537555228276878,0.5961538461538461,0.5170725992476861,0.5579329870628362,0.6915385758646273,0.6105855746052677,0.5526591603554581,0.5875342887431135
7,raw,0.6519863402852254,0.797938144329897,0.6085164835164835,0.5539826219143533,0.5873066520447716,0.6347804729184545,0.6075790462510586,0.5785228596353119,0.5864196971537768
8,raw,0.5213187997576414,0.845360824742268,0.6016483516483516,0.5883118849664125,0.6044906186913512,0.6285951452956287,0.5986499299118172,0.5943132949732851,0.5776967584019629
9,raw,0.46112395388037186,0.8827687776141384,0.5975274725274725,0.5775778465126739,0.5967060989621445,0.6523953220032406,0.6175103281276855,0.5865551782193332,0.5957638173942441
10,raw,0.37077550785355434,0.9119293078055964,0.6016483516483516,0.5833024144991644,0.6050553844978267,0.6299392133527423,0.6092311428167547,0.5915580862162987,0.58823316903833
11,raw,0.32011392271922506,0.9296023564064801,0.5851648351648352,0.567669366228468,0.5895209225908571,0.6131418959257144,0.6190697354167075,0.5755423272498332,0.5986316722191837
12,raw,0.25554260455719324,0.9508100147275405,0.5975274725274725,0.5690172405365871,0.5959008526939308,0.6235472559615468,0.6184431394489903,0.5818468449324856,0.5976582309169387
13,raw,0.21528994594652628,0.9652430044182622,0.5961538461538461,0.5851340181685548,0.6021964643809129,0.6410506163166636,0.6316125715820495,0.590092940761936,0.6102442177048274
14,raw,0.20153406331526866,0.9711340206185567,0.5989010989010989,0.5745920745920746,0.5962883270575579,0.6482809154709525,0.6186430181972674,0.5855311355311356,0.5970336543482356
15,raw,0.1800149195587512,0.9717231222385861,0.5934065934065934,0.5474466617758984,0.5794629508905332,0.6219362304736233,0.6356432241587318,0.5681286310097111,0.6149120164762777
16,raw,0.17442891230376023,0.9749631811487481,0.6071428571428571,0.5909900775511675,0.6095043365597327,0.6729279022014912,0.6255444947935132,0.5982588283674278,0.6031135647201301
17,raw,0.15089675454266469,0.9814432989690721,0.6016483516483516,0.5691892650304993,0.5958200577672886,0.6708394090357495,0.6097723435311992,0.5837958540085328,0.5874110298966743
18,raw,0.13335807466980987,0.984977908689249,0.5673076923076923,0.5519003878381767,0.5734458226653426,0.623827946576057,0.5989452080608062,0.5588336748494587,0.5781509431749376
19,raw,0.1126300661483113,0.9899852724594993,0.5934065934065934,0.57267004978137,0.5947119322023061,0.6052805883378164,0.6095948560388161,0.5820014944127205,0.5894188364275555
20,raw,0.12375302605758887,0.9835051546391752,0.5851648351648352,0.5625931548572037,0.5858192355352324,0.6262554819417406,0.615007678778777,0.5727504109956378,0.5941324960473857
21,raw,0.11363230314220964,0.9840942562592047,0.592032967032967,0.5745283474397974,0.5942075907247771,0.6301803531612598,0.5997880115274224,0.5824054262567238,0.5787819997553805
22,raw,0.10772465020418168,0.987039764359352,0.6085164835164835,0.5784536198337923,0.603574815538811,0.6928277649903276,0.5877294839461807,0.5919819084910034,0.5646352251131698
23,raw,0.09198463826065825,0.9905743740795288,0.6016483516483516,0.5728319728294329,0.5989819075281964,0.653577359144897,0.6094684582555769,0.5857993432979463,0.5876825462840803
24,raw,0.07662856572723244,0.9932253313696613,0.5892857142857143,0.5634529959826325,0.5887180833496347,0.6463341196390652,0.598906894080004,0.5750777192190193,0.5773624234253685
